,dt_o,idtrajectory,zmu_origin,zmu_destination,hour,geom,day,index_zmu_origin,area_origin,nome_comun_origin,quartiere_origin,index_zmu_destination,area_destination,nome_comun_destination,quartiere_destination
0,2022-10-21 17:22:42+00:00,63040398,1058115,1058115,17.0,0102000020DB1A0000090000009B62CC6CAAF85A416110991C229B5141E20136D78FF85A4165DC67E90E9B51419E9678D83FF85A41391EB9D9DE9A51413D63CC7924F85A4129B0E83E169A51410D11C128AFF75A412E516D86679951412604AED364F75A4104BB4465A1995141E57825011AF75A41E370D9D86E9951410B375950F1F65A41A5F81E7F67995141A9CA7596EFF65A41B62A385963995141,21-10-2022,606,23.102795,Lariano,,606,23.102795,Lariano,
1,2022-10-21 16:00:44+00:00,62508842,1058036,1058034,16.0,0102000020DB1A0000FD000000164CE61CACE55A411307418262C551410273AB9BB0E55A41920EE70A52C55141785A7BD1B1E55A4182B21CD344C55141785A7BD1B1E55A4182B21CD344C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C55141AC6DD8DBB1E55A414CD294EF44C5514140D846D1B1E55A41B14681EF44C5514140D846D1B1E55A41B14681EF44C5514140D846D1B1E55A41B14681EF44C55141075612D1B1E55A41DFDAE50B45C55141075612D1B1E55A41DFDAE50B45C5514170420EDAB2E55A410DA92DC841C5514132960AEDB8E55A41E9CED2F02FC55141BD65C74CC0E55A416B02F78118C5514116BD0816C6E55A41C831DD71F5C45141D1D65D18CCE55A41B82CE36CCAC451410ED1C9DAD2E55A419EE3A5C198C45141C8D15053DAE55A417C8225FD62C45141BD92D99FE2E55A418E63FF4327C45141849428A6EAE55A414DE5816DECC35141956547B4F2E55A4109679B24B3C351410ACAE8DEFAE55A415D302ECE78C351417D43F06C03E65A415F649A403CC35141A52E47BE0CE65A4142993FEDFFC25141FC758F381BE65A410002000EC4C25141EEDECBC031E65A4184A3CF3D88C25141C104EF5B4EE65A4172DDAAFD51C2514153E4014A6DE65A41D919844F1DC25141616326FC8BE65A415C764CD2E9C1514181570AA4A9E65A41BC11B192B7C1514179D584BDC8E65A4104CFC00883C15141275514BDE7E65A41C258A9774EC1514175251AFE03E75A417EFDF68A1CC151415D2166AB1FE75A412FE286DEE7C05141D67039C937E75A418021DB6AB4C051411E60C02863E75A41E1C35E3725C051414B2ACC946CE75A419EA14F61F0BF514189BAC23B72E75A41E2783B28BABF51410A5842D374E75A41F236A51987BF5141B715394076E75A417BD3444855BF51418BF1F28B77E75A41F8C7CBB81EBF514184A031AE77E75A4173950187E0BE51413E0A9DFB7FE75A41A3D8636CA1BE51410301519597E75A4180EF550267BE514166C42D83BFE75A417145BFCA31BE5141555BBA6FD8E75A411C7D8F6F1BBE5141F9926509F5E75A4132A47D2F08BE51415A4BB7D433E85A41FBBF61CFE2BD51410DE8AC4A6AE85A417B382BDEB0BD5141A9604F4F8BE85A41A51168D96DBD5141AF20E7F9A1E85A4187D91B1728BD5141FD2689E2BEE85A41FFE4ED4DEDBC5141096BA5ADE4E85A41D43E0C3DBBBC5141A78A8D8C09E95A41B279719C98BC5141B1542F6D13E95A41ED5B19DE90BC51418985800047E95A4188B9CD0B70BC51411706D1AE7CE95A4160A1B18352BC51416D5D418DB1E95A41BFB5765033BC5141D9CBF139E5E95A41EF6D3C7A0EBC5141F23CEDD911EA5A4158C25B5EE7BB5141C664D9983DEA5A41C9607461B7BB5141F057A57265EA5A41DBFC5B8983BB51414EFDC84F8BEA5A419C18020C4BBB5141D20C1910ABEA5A41E8960FC50CBB514144B917C2B6EA5A41FB63B5A4EBBA5141FBD79A77BEEA5A41A8BCCD11CABA5141B8D3EC43C1EA5A41D99C18CD82BA51415BC2F53BB6EA5A418533669245BA51416CD7E54CB4EA5A414DD89C1F3FBA5141B3AFB58099EA5A414BF87A7E00BA5141BEDF702D77EA5A41693E545BC4B95141AFD3DD1A53EA5A41F271219986B95141A939168832EA5A410142EAF347B95141654C20781EEA5A414DE2F3C603B951410B12336119EA5A410378FB69BFB85141B1B975DC1BEA5A414733D61280B85141EE6BA43B1FEA5A41E3C3724343B85141D0069A7922EA5A414F54773307B8514166375F9025EA5A419D780638CCB751410B5A39D628EA5A41C30D0B8B91B751414C23ED002EEA5A411867010C58B7514159B0DE8C3AEA5A41625CF6371FB751414B408D3F52EA5A41A32E23F2E8B65141ACAB611178EA5A41997282CFB3B65141409C169BA5EA5A41184F939586B65141511D77D2D2EA5A4112E7A5AE5DB651410D14FB9AFEEA5A4185EB89BD35B651413D7EB1C82DEB5A41A1D92D2A0BB65141E6B99D0560EB5A415F06509EDEB551412410633093EB5A41FBBA850EB0B5514103237EBCC5EB5A41D4249CB681B551411648FAFBF6EB5A410EE19C9D50B551416F95164121EC5A414A82BF4116B55141B71AFE8340EC5A41694BA013D2B451415B0429EB48EC5A4158E9BCE3B5B45141838B8EE352EC5A411CDE579B88B45141643DC06560EC5A4141FE5FF63CB45141E74BEA9E6EEC5A419E38888DEDB351418AEE49FC7DEC5A41B3C938E79DB3514141C9FD4D92EC5A41A8695C764DB35141BF70315CA8EC5A413659DD1A05B35141059DC765C4EC5A41843796F6BCB25141188C2B95ECEC5A41CA7EB58A7FB25141CAE57A300CED5A41974E2F1C5FB25141EBFB016D1BED5A419757D66C52B25141941F37C651ED5A4129D180302EB251418CA73D0B88ED5A412D723A3811B251417D26402FC3ED5A41BBDAEF3DF1B1514166F2E5F801EE5A417D5D81A2CEB151410428BFCC41EE5A41FD17E3C2ABB1514128E77BE37FEE5A41692A122789B1514131E049E0BDEE5A41F2FDAD9266B15141C8E4C893F9EE5A4138F9AC5545B151414909882E33EF5A41A506B22B20B151415E727C3F65EF5A419657E242F4B0514150446F0E8BEF5A4165B803B1C8B0514190B91184ACEF5A41B5F5503596B0514105EF6BEFC8EF5A415978FA555BB05141DF809077E1EF5A41E4084CA81DB05141E587E168F9EF5A41D94CED3FE1AF5141BFB20EC110F05A4146A803C1A4AF5141BAA63DD727F05A4146060A8169AF51413EED88CB3EF05A41CBE34FFA2CAF51414BBB9FD955F05A412D142F91EEAE514196BF61636EF05A417C99E8E4AEAE5141E4AE559287F05A41589E18AD6CAE5141BBBA2C929EF05A419AF603B72BAE514133C68D0AB3F05A418AAAEA2CEBAD514129FA95C3C5F05A41E3FF99A5ABAD5141891E403DD8F05A41541BE1246CAD51411BB92BCBE9F05A41A51AD83530AD5141B1D76DD3FAF05A41E920383DF7AC51415D8FA5A00EF15A417C43EE26BFAC5141C1FB10EC27F15A410E4F4EE486AC514180543D9E47F15A41402CEFE14EAC5141CE52C6616AF15A41DD597A9914AC5141D21723708DF15A414F7EDA51DAAB51419E054887A9F15A41E7F2A85BA5AB514118FF2DE8BBF15A410EA7B2DA76AB5141D1E07EB4C9F15A4147A2F33A46AB514186DC5942D3F15A4107E5D19310AB5141CCC01D20DCF15A41583E2E75D4AA5141D00F3DCBE6F15A41BF56E32996AA51411B21CE5FF8F15A4182D2B8655BAA5141FFB8727013F25A413EA2A2E723AA5141B944519C3AF25A41207EE8A0EEA95141522120CC6AF25A41E4956049BEA951414C18A7399CF25A41B5AF2ED090A951415076BB30CAF25A417360E3C063A951418F64C9CAF2F25A41EE6E601834A95141675C40B216F35A41A941058A01A95141F5A5BA2F36F35A41CD5ACB81CAA851416977C1C154F35A41AD5425F98FA8514126FEBC7D75F35A4122C63E8552A8514190630EFE97F35A4121DFA00D17A851410E7A21CDBCF35A4168B3FAA7DFA75141DBBCB78FE4F35A41969B79FAA9A75141E6A10E180EF45A414DBC517573A75141984A3DD232F45A4179423FAC3CA75141ED2B0AC450F45A418B4A602904A7514179B6673E6CF45A4155E24E46C7A6514116E2488185F45A41D271135E8AA65141AB5F9D429DF45A41910615CF4CA651417FBCF330B3F45A4160C136580FA6514139489D43CAF45A412DA041ACCFA5514132AA66B0E1F45A416097003A90A55141F3829C11FDF45A411B8A1FDE53A55141B611549D1BF55A41B12D860B14A551419D52462D39F55A413AF7F228D3A45141DFF68C0A50F55A4158CCE61A90A451412FCE46365EF55A4171751D0F49A45141FE904F0667F55A41AC3E6ACB02A45141274235C972F55A419C4082B0C0A351413579E8B889F55A419CED78FB85A35141B5DE2FC8AFF55A41753506AA4DA35141976F0CB7CEF55A41C82D56D82EA351410247580BE5F55A412D3E08A51CA35141C2ACD0A122F65A4184738EDCF1A251418D03B6E45FF65A4178B29CFDC8A2514163AB08E99EF65A41C5A7C0159FA25141EDA79031D7F65A41F137FECD78A251416BF74CC30DF75A4163A7101754A25141E39ECC8C46F75A41EF2B08B52DA25141F2CE4D9879F75A4103E67B4A0BA2514161ABE198B1F75A41F299BF03E5A1514154FB9E24E7F75A41DBB692A9BDA15141D9FCF2731EF85A410F0D6B6A94A151411EF46E2754F85A410D3C938A6CA15141E4A0B7B488F85A4123BCFBB545A15141D74DD57BBBF85A41799ED32320A151410512EF63EEF85A4140739159FAA05141FDE218BC20F95A410B85B8F8D4A05141DD428DA053F95A418F6F5BF6AEA05141DF82790F88F95A41F29535AA88A05141621C04CDC9F95A4129B1633360A051413623D23011FA5A4180CD80E43FA0514139DE61AC58FA5A412CB4942729A05141BFC16D0BA1FA5A419E57F40815A0514136561431EAFA5A41EF69EC5000A0514197C476F136FB5A416A26D871EA9F51415BA91E6684FB5A41B52FA2EAD49F5141FA2FBBB1D0FB5A4191D23561BF9F5141FCDBC52415FC5A413267CF02AC9F514147C6E68758FC5A4132530622999F51415A71DC8B9FFC5A41E76956D3849F514139211E6FE7FC5A41EF7818A4709F51414D644D6830FD5A415950ED065C9F5141D61E375E74FD5A417DA31F87489F5141E7B8AD78B6FD5A41A857CA17369F514142530D05F7FD5A415845C09D239F51415F07E1B633FE5A41C540D383129F5141C9B6001373FE5A4118BF57C7009F5141F4FBBE74B7FE5A4127A73168ED9E5141D1643087FAFE5A41006C485BDA9E51415511F74841FF5A413FD8227DC69E5141B49E919C85FF5A415E420AE7B29E5141FF8180EFCCFF5A41F374C7BD9E9E5141852E0A1814005B4191792BB18A9E514172068C5B5E005B41CD7988B5759E51419CDF9340A2005B412921C459629E5141DCBCA7CBE5005B41639AA8FD4E9E5141A290D3052B015B41ED3DAC913B9E5141013B134673015B41E99C1D1A279E5141722E6227B7015B412049F7C0139E51411B2D06B4FB015B41FA674C1C009E51414C595DB941025B416F7D0F4DE79D514178C3539D84025B41FB47B23CCE9D51410E2371CCC5025B41A0E6E6AEB59D5141979F689107035B41578EB6F19C9D514132444BC543035B41EA2DD45C869D5141DE1BD2D380035B41F4888DAE6F9D5141260E7D02BA035B41482BE7345A9D51417E1E8690EF035B417E601A1B469D5141E34C560429045B41AEEDEDDB309D51415B7B0A3A67045B41A5CE495C1D9D51416AF358CE6D045B41B24215DB1B9D51414FA83C70AC045B419F4E456D149D514143B3547FF5045B4127D89906149D5141516A889D42055B41CF8E1097149D5141D9EB8DEE8D055B418B1181B8149D5141728B95B1D0055B41965027C8149D514185EB1AB31A065B41F24DF71F159D51418FD4C44262065B413F4096FF149D51419FFCBC9EA0065B41DAE13419159D51411FB12926E4065B41848C364A159D5141,21-10-2022,527,41.062527,Fiano romano,,517,26.889307,Colleferro,
2,2022-10-20 16:52:59+00:00,55882763,1002075,1002037,16.0,0102000020DB1A00000B000000CEE1838C02D55A411D1D847F1EB6514116C859ABECD45A412084449432B65141C99CFE36D5D45A4193D735FE42B65141B1B23CF4BCD45A417965BD054FB651417C3550E9A7D45A419D90B4A758B65141D38D274697D45A41E8E0D68762B65141E2826CDD87D45A41D585CCCD6AB65141D1A889977CD45A41A93B44C177B651410926085079D45A410A0F91117AB651410CF11D8D71D45A4186C1FB537FB6514199296ACD6BD45A41FF6C4F5283B65141,20-10-2022,493,1.507879,Roma,La Giustiniana,1140,2.251151,Roma,La Giustiniana
3,2022-10-21 17:20:23+00:00,63021118,1001318,1001370,17.0,0102000020DB1A00001D000000663D19F757CC5A41BEEF679C8F9951419406A7C05ACC5A413233DC56A09951418BFDE4235CCC5A41772E2271A79951414FB79FC74CCC5A41FB20B142B0995141E7DB8C463ACC5A41847E0334BB9951417F13637624CC5A41E0D71805C8995141868BE47F11CC5A419B475E99D3995141786C1A8E00CC5A41DA5D0C37DE995141A8DB44E9EDCB5A41F8218FC5E7995141ECE16196E7CB5A414F78AE7EEA995141CDC28653C7CB5A41CDEB72B8F799514137C374C0A7CB5A418CE62DBA049A5141770060539FCB5A41729A09F50E9A5141915C499B99CB5A41E08A3633179A5141D7ADE80A92CB5A41395F5F3A189A514171BA0DFB88CB5A41357F2DD8139A51413494FEF481CB5A41EF5487CA149A5141F4A94F5F67CB5A41062CC1A6209A5141EE2C67254BCB5A41CB57C0CF2C9A5141C9744CA534CB5A41248F45E3349A51418717B32033CB5A416BC3D568359A514129905C2A31CB5A4163D19F5E389A514180F8F97932CB5A41A50B1ADD3D9A5141FB65FF5936CB5A412E0ECBC6469A51417A12FB4739CB5A4187AF1EB14C9A514112B1D4F93FCB5A41342768525D9A51417975D1FB4ACB5A41FDD8873A769A51418337D2BD51CB5A413190B786869A514111340DAC52CB5A4158579FEE8D9A5141,21-10-2022,1272,0.458074,Roma,Lido di Ostia Levante,586,0.107887,Roma,Lido di Ostia Levante
4,2022-10-21 17:22:10+00:00,63028712,1058117,1058117,17.0,0102000020DB1A000004000000402BAE8FF3DC5A416A411977288E5141A2566245F9DC5A41FB857432358E5141AB33AC95A8DC5A4112C5789F3F8E5141F3D69388A0DC5A419363C748388E5141,21-10-2022,77,71.889931,Ardea,,77,71.889931,Ardea,
5,2022-10-21 18:29:38+00:00,63382157,1001040,1001010,18.0,0102000020DB1A0000070000002FE28049A0E05A4119A935E108A95141A7BBEFFACBE05A411C0D3612DFA851413FD1B3A6C5E05A41E4E1F3D0E9A85141A2134518D2E05A4136A5ADEBEBA85141F4FB31B1CCE05A412E0ED0C6ADA85141456C02D9E6E05A41E6867C5641A85141CBB83A05ECE05A414A058C0746A85141,21-10-2022,428,0.107403,Roma,Tuscolano,1057,0.316174,Roma,Appio Claudio
6,2022-10-21 18:24:28+00:00,63377783,1001263,1000145,18.0,0102000020DB1A0000200000002C3A157D19DE5A4155F20A5201A15141B2EA6575D5DD5A415EB9BFF5F4A051418401571DFADC5A414AD0C67786A15141EC0A454FEDDC5A41E105C44A81A25141C40429DC41DD5A417E208C1E2BA351413116C2989ADD5A413F9050D39EA3514123F34568AEDD5A41F8D3B9C36AA45141E1718FD9EADD5A41D31B8F8FDBA45141C7D7E4DFECDD5A41582CB3B751A551417F8C2CCBF5DD5A4195D96DE322A6514177DA7CEDAFDD5A4185860BD8FDA65141753B93F49DDD5A41B7B0B552D0A751418D77612310DD5A41B710320098A851417CBF4E1966DC5A41C61003A8BCA85141FAFB499426DC5A416E1AE67B71A95141D8D9D52B1EDC5A411137E51DA6A95141675A262519DC5A41A1CE24ED77AA5141C6FC2A3B3FDC5A41BEC2D5B123AB514157A3578DA7DC5A41062467DB52AB51415F36B5A7C1DC5A416806B5AAA4AB5141C51866A5AEDC5A41C08BDE66E9AB514149F9DAD294DC5A41FDDEAF4F23AC514106FE928C7CDC5A41C7978F9A65AC51418E1E6BD75CDC5A4147494285A7AC5141B30BE05F62DC5A41488A1C8ADCAC5141D116164182DC5A41DB1B21EF11AD5141E05317137ADC5A41D0508E9118AD5141B86C185F68DC5A41439186F628AD5141131B30D04CDC5A4175C2918151AD5141F43F9CFA5BDC5A416BC5CCA85BAD5141FA3113DE95DC5A412F3022C283AD514167FAF10196DC5A41E7FF499784AD5141,21-10-2022,1242,0.960486,Roma,Castel di Leva,711,0.151503,Roma,Castro Pretorio
7,2022-10-21 17:33:19+00:00,63047166,1058008,1058008,17.0,0102000020DB1A000004000000797AB9F59B135B41C18F14B663A851412F1C8D0821135B414CE0BFF23BA851411A11B05819135B4143557B652CA851411AE41C7223135B41B582912A20A85141,21-10-2022,502,27.102566,Arcinazzo romano,,502,27.102566,Arcinazzo romano,
8,2022-10-21 16:01:17+00:00,62522240,1001809,1001916,16.0,0102000020DB1A0000090000007F3D52408CD45A41073DCEA6A6AE51418A01E61098D45A4149E44747ADAE5141E597CC932BD45A41C5ADE04E7AAE51415929F8E2D2D35A4185C2A3D541AE5141E6E3FA507DD35A418544FD877BAE5141012A91FC97D35A41823C81F8EDAE5141FBF1B8E8DDD35A4156C8A2E53CAF51415A91092F58D45A4170B2DBECCBAF5141E0C3FA1B76D45A414608325AE5AF5141,21-10-2022,329,0.726308,Roma,Trionfale,376,0.80114,Roma,Trionfale
9,2022-10-21 16:26:13+00:00,62586349,1000336,1000532,16.0,0102000020DB1A00000C000000927A68D03ADE5A41BDEC867888AE51417512FF171FDE5A41CB03ADDE90AE5141939AED1A07DE5A41D6BFCA74C8AE5141CED6D8EA03DE5A413459205413AF5141AD74B1F130DE5A41A5C49C0442AF51414CABA6D16DDE5A4177F4C81A65AF514189CC3BF8E1DE5A41BE1ED96C4AAF5141D6317A4012DF5A41C54DF0C694AE514129C65FA148DF5A411771EF0A43AE5141A557B54731DF5A4113B5432D23AE5141592B4F7D59DF5A411022F5D200AE5141F7C925895CDF5A419B5F2A44FDAD5141,21-10-2022,746,0.084058,Roma,Nomentano,806,0.288695,Roma,Collatino
