,hr,tripdistance_m,triptime_m,breaktime_m,counts
0,12.0,7947,11,367,36
1,11.0,7868,12,158,38
2,17.0,10669,13,243,26
3,8.0,5136,9,269,30
4,10.0,5342,10,98,28
5,9.0,7362,11,263,35
6,6.0,5611,9,470,54
7,13.0,7126,13,303,30
8,15.0,4408,9,162,35
9,14.0,5230,9,321,40
10,7.0,3658,7,787,34
11,5.0,8093,10,844,32
12,16.0,6051,9,175,31
13,21.0,24400,26,470,3
14,2.0,19933,17,1495,3
15,4.0,22644,23,993,9
16,18.0,3950,7,68,10
17,22.0,23500,29,188,2
18,19.0,17375,23,108,4
19,3.0,1500,4,1289,3
20,20.0,6350,11,205,2
