,counts,index_zmu,POP_TOT_ZMU,zmu,hr,day,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
0,1.75,1131,2285.0,1001043,6.0,2022-10-20,Roma,Casal Morena,14175.0,24.0,660.0
1,3.5,678,572.0,1001635,20.0,2022-10-20,Roma,Gianicolense,18050.0,18.0,62.0
2,0.8,56,35129.0,1058029,15.0,2022-10-20,Cerveteri,,5553.0,9.0,109.0
3,1.28,56,35129.0,1058029,16.0,2022-10-20,Cerveteri,,6042.0,8.0,178.0
4,0.36,62,19498.0,1058057,5.0,2022-10-20,MARINO,,5557.0,15.0,552.0
5,1.78,32,16882.0,1058114,6.0,2022-10-20,Zagarolo,,5760.0,9.0,482.0
6,1.36,32,16882.0,1058114,13.0,2022-10-20,Zagarolo,,5069.0,7.0,92.0
7,0.12,663,8600.0,1058022,3.0,2022-10-20,Castel gandolfo,,0.0,1.0,658.0
8,3.88,1069,1289.0,1001020,17.0,2022-10-20,Roma,Torrenova,6900.0,8.0,36.0
9,0.73,30,45440.0,1058072,8.0,2022-10-20,Nettuno,,4251.0,8.0,434.0
10,1.07,358,7486.0,1001901,6.0,2022-10-20,Roma,Trionfale,1362.0,4.0,408.0
11,2.5,1202,6788.0,1001219,6.0,2022-10-20,Roma,Giuliano-Dalmata,12588.0,26.0,318.0
12,0.95,1156,7364.0,1001114,6.0,2022-10-20,Roma,Ardeatino,1285.0,4.0,102.0
13,0.48,1165,6285.0,1001137,7.0,2022-10-20,Roma,Ardeatino,1433.0,4.0,275.0
14,0.31,1231,3207.0,1001241,4.0,2022-10-20,Roma,Giuliano-Dalmata,31600.0,35.0,25.0
15,0.54,1156,7364.0,1001114,5.0,2022-10-20,Roma,Ardeatino,4400.0,12.0,475.0
16,0.8,1165,6285.0,1001137,6.0,2022-10-20,Roma,Ardeatino,7140.0,19.0,563.0
17,1.16,288,2591.0,1001120,6.0,2022-10-20,Roma,Ardeatino,3833.0,13.0,287.0
18,0.84,124,13042.0,1058050,14.0,2022-10-20,Lanuvio,,6218.0,9.0,1025.0
19,1.0,124,13042.0,1058050,15.0,2022-10-20,Lanuvio,,6184.0,9.0,341.0
20,27.78,443,72.0,1002027,8.0,2022-10-20,Roma,Tor di Quinto,11700.0,35.0,686.0
21,2.26,733,1329.0,1000208,10.0,2022-10-20,Roma,Flaminio,14600.0,28.0,38.0
22,40.0,675,50.0,1000240,11.0,2022-10-20,Roma,Parioli,2050.0,4.0,16.0
23,0.76,619,1310.0,1000228,12.0,2022-10-20,Roma,Flaminio,2300.0,8.0,69.0
24,2.03,1198,6417.0,1001217,12.0,2022-10-20,Roma,Fonte Ostiense,4723.0,10.0,290.0
25,1.4,1198,6417.0,1001217,13.0,2022-10-20,Roma,Fonte Ostiense,5155.0,10.0,80.0
26,1.62,321,4310.0,1001410,10.0,2022-10-20,Fiumicino,,10885.0,16.0,209.0
27,0.91,1289,8787.0,1001417,10.0,2022-10-20,Fiumicino,,7187.0,11.0,1873.0
28,0.57,1289,8787.0,1001417,11.0,2022-10-20,Fiumicino,,8960.0,11.0,176.0
29,0.66,271,3015.0,1001409,11.0,2022-10-20,Fiumicino,,4950.0,11.0,14.0
30,1.07,749,13059.0,1001414,15.0,2022-10-20,Fiumicino,,4664.0,10.0,120.0
31,1.33,271,3015.0,1001409,18.0,2022-10-20,Fiumicino,,6700.0,11.0,105.0
32,0.44,82,51909.0,1058111,7.0,2022-10-20,Velletri,,9304.0,15.0,190.0
33,1.02,51,13719.0,1058011,7.0,2022-10-20,Artena,,4335.0,8.0,382.0
34,0.75,74,15914.0,1058110,7.0,2022-10-20,Valmontone,,12258.0,14.0,171.0
35,0.54,82,51909.0,1058111,17.0,2022-10-20,Velletri,,7275.0,11.0,119.0
36,1.35,76,53336.0,1058104,14.0,2022-10-20,Tivoli,,4875.0,9.0,231.0
37,0.15,76,53336.0,1058104,3.0,2022-10-20,Tivoli,,10675.0,13.0,1189.0
38,2.1,630,476.0,1001905,3.0,2022-10-20,Roma,Trionfale,37100.0,50.0,1.0
39,1.29,76,53336.0,1058104,13.0,2022-10-20,Tivoli,,5663.0,10.0,148.0
40,1.41,526,11345.0,1058039,5.0,2022-10-20,FRASCATI,,8406.0,22.0,703.0
41,0.87,529,3460.0,1058046,12.0,2022-10-20,GROTTAFERRATA,,2566.0,8.0,128.0
42,0.66,609,12097.0,1058131,13.0,2022-10-20,GROTTAFERRATA,,10525.0,18.0,157.0
43,10.48,1055,763.0,1001005,14.0,2022-10-20,Roma,Don Bosco,16950.0,33.0,174.0
44,0.58,529,3460.0,1058046,15.0,2022-10-20,GROTTAFERRATA,,11400.0,30.0,47.0
45,111.11,1214,36.0,1001224,4.0,2022-10-20,Roma,Giuliano-Dalmata,17425.0,22.0,822.0
46,0.93,794,3212.0,1000337,18.0,2022-10-20,Roma,Nomentano,6400.0,12.0,4612.0
47,0.27,783,3681.0,1000306,19.0,2022-10-20,Roma,Nomentano,900.0,4.0,21.0
48,1.59,1062,7540.0,1001115,8.0,2022-10-20,Roma,Ardeatino,5566.0,13.0,286.0
49,0.36,954,5579.0,1000721,9.0,2022-10-20,Roma,Prenestino-Centocelle,7600.0,24.0,19.0
50,0.48,607,6275.0,1001008,7.0,2022-10-20,Roma,Appio Claudio,4566.0,12.0,343.0
51,0.32,607,6275.0,1001008,13.0,2022-10-20,Roma,Appio Claudio,750.0,2.0,181.0
52,0.79,1144,1272.0,1001050,5.0,2022-10-20,Roma,Torre Gaia,18300.0,77.0,775.0
53,0.83,609,12097.0,1058131,7.0,2022-10-20,GROTTAFERRATA,,8550.0,14.0,192.0
54,2.36,39,3396.0,1058129,11.0,2022-10-20,FRASCATI,,9487.0,15.0,152.0
55,0.42,1142,11869.0,1001045,12.0,2022-10-20,Roma,Casal Morena,8700.0,13.0,122.0
56,0.42,1142,11869.0,1001045,15.0,2022-10-20,Roma,Casal Morena,6420.0,12.0,99.0
57,1.39,571,10822.0,1058088,16.0,2022-10-20,Rocca priora,,5326.0,10.0,1153.0
58,0.77,524,13058.0,1058036,11.0,2022-10-20,Fiano romano,,10180.0,16.0,1383.0
59,25.0,40,40.0,1002043,20.0,2022-10-20,Roma,Prima Porta,16500.0,14.0,514.0
60,1.31,515,21397.0,1058034,5.0,2022-10-20,Colleferro,,11396.0,15.0,659.0
61,2.52,515,21397.0,1058034,6.0,2022-10-20,Colleferro,,6679.0,11.0,523.0
62,1.87,515,21397.0,1058034,7.0,2022-10-20,Colleferro,,6560.0,10.0,572.0
63,3.13,515,21397.0,1058034,14.0,2022-10-20,Colleferro,,4138.0,8.0,143.0
64,0.79,872,5075.0,1000503,7.0,2022-10-20,Roma,Collatino,5900.0,9.0,1030.0
65,1.59,877,6303.0,1000510,7.0,2022-10-20,Roma,Collatino,4000.0,6.0,313.0
66,0.99,640,2025.0,1001363,19.0,2022-10-20,Roma,Acilia Sud,6600.0,9.0,116.0
67,0.99,1105,5068.0,1001380,6.0,2022-10-20,Roma,Acilia Sud,1960.0,6.0,778.0
68,1.14,1210,2626.0,1001348,11.0,2022-10-20,Roma,Acilia Sud,1166.0,3.0,352.0
69,0.2,1105,5068.0,1001380,13.0,2022-10-20,Roma,Acilia Sud,1500.0,3.0,136.0
70,0.39,1105,5068.0,1001380,17.0,2022-10-20,Roma,Acilia Sud,550.0,1.0,157.0
71,5.19,483,385.0,1002062,4.0,2022-10-20,Roma,Cesano,28300.0,23.0,2467.0
72,0.47,94,4225.0,1002015,7.0,2022-10-20,Roma,La Storta,15000.0,20.0,1826.0
73,0.4,305,2516.0,1001816,11.0,2022-10-20,Roma,Aurelio,37900.0,40.0,184.0
74,7.04,825,1420.0,1001518,12.0,2022-10-20,Roma,Magliana Vecchia,10530.0,11.0,101.0
75,1.92,1186,1039.0,1001206,15.0,2022-10-20,Roma,Europa,6900.0,23.0,172.0
76,1.92,1186,1039.0,1001206,16.0,2022-10-20,Roma,Europa,400.0,2.0,8.0
77,1.41,825,1420.0,1001518,16.0,2022-10-20,Roma,Magliana Vecchia,8350.0,15.0,58.0
