,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
0,1.31,1034,3052.0,1000865,10.0,Roma,Torre Angela,1650,4,61
1,3.3,1032,5158.0,1000863,9.0,Roma,Borghesiana,2605,7,65
2,1.87,313,1606.0,1001949,12.0,Roma,Primavalle,1566,6,75
3,11.41,481,4910.0,1002060,15.0,Roma,Prima Porta,5310,10,394
4,7.74,481,4910.0,1002060,14.0,Roma,Prima Porta,6492,15,684
5,10.18,481,4910.0,1002060,7.0,Roma,Prima Porta,4604,7,311
6,11.0,481,4910.0,1002060,16.0,Roma,Prima Porta,5668,11,324
7,3.16,33,4749.0,1002018,12.0,Roma,Prima Porta,5246,9,130
8,0.42,33,4749.0,1002018,21.0,Roma,Prima Porta,5550,7,304
9,32.64,684,1440.0,1000416,8.0,Roma,Castel Giubileo,9363,15,618
10,5.64,42,10644.0,1058018,8.0,Capena,,10153,13,855
11,35.51,456,535.0,1002035,8.0,Roma,Grottarossa,11589,14,420
12,6.72,481,4910.0,1002060,13.0,Roma,Prima Porta,12600,15,161
13,16.3,1170,184.0,1001128,12.0,Roma,Appio-Latino,11400,23,977
14,15.28,684,1440.0,1000416,17.0,Roma,Castel Giubileo,5272,14,1335
15,45.58,562,1119.0,1058080,5.0,Ponzano romano,,45313,28,2139
16,56.34,3,71.0,1000456,5.0,Roma,Marcigliana,21725,28,1539
17,3.72,776,1884.0,1000280,9.0,Roma,Trieste,4728,11,992
18,0.84,33,4749.0,1002018,20.0,Roma,Prima Porta,13600,18,37
19,37.23,757,188.0,1000219,20.0,Roma,Parioli,13385,23,204
20,7.06,808,3684.0,1000419,17.0,Roma,Casal Boccone,4196,10,208
21,5.47,486,3290.0,1002074,15.0,Roma,Tor di Quinto,6188,14,543
22,6.38,486,3290.0,1002074,16.0,Roma,Tor di Quinto,3604,8,153
23,3.37,33,4749.0,1002018,9.0,Roma,Prima Porta,8137,10,28
24,3.16,33,4749.0,1002018,7.0,Roma,Prima Porta,3826,7,237
25,1.43,932,2806.0,1000609,4.0,Roma,Prenestino-Labicano,26750,46,1426
26,9.55,1188,2094.0,1001211,4.0,Roma,Torrino,17235,30,1121
27,8.21,874,2314.0,1000504,11.0,Roma,Collatino,4857,9,223
28,2.05,134,2933.0,1000624,12.0,Roma,Collatino,8483,18,173
29,2.19,937,5018.0,1000634,13.0,Roma,Collatino,5045,21,398
30,5.16,137,1163.0,1000488,11.0,Roma,Monte Sacro,12133,17,53
31,3.91,93,31441.0,1058122,16.0,Fonte Nuova,,4902,13,286
32,1.04,579,4818.0,1058098,20.0,Sant'angelo roman,,13440,18,74
33,4.69,551,8523.0,1058064,10.0,Monte porzio cato,,4460,8,140
34,7.48,526,13770.0,1058039,15.0,FRASCATI,,6908,16,194
35,4.04,946,4211.0,1000867,13.0,Roma,Borghesiana,6682,16,77
36,6.1,526,13770.0,1058039,16.0,FRASCATI,,6190,14,151
