,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
0,4.49,63,11802.0,1058060,10.0,Montecompatri,,10745,16,112
1,5.59,63,11802.0,1058060,16.0,Montecompatri,,7600,15,306
2,4.07,63,11802.0,1058060,11.0,Montecompatri,,6458,10,350
3,4.83,63,11802.0,1058060,15.0,Montecompatri,,10389,18,181
4,10.61,10,15746.0,1058119,11.0,San cesareo,,6502,10,239
5,11.88,10,15746.0,1058119,12.0,San cesareo,,8648,12,232
6,3.98,63,11802.0,1058060,14.0,Montecompatri,,7246,14,508
7,15.11,10,15746.0,1058119,14.0,San cesareo,,5912,10,189
8,11.24,10,15746.0,1058119,5.0,San cesareo,,9276,15,757
9,12.19,10,15746.0,1058119,7.0,San cesareo,,5062,8,416
10,68.13,226,411.0,1000715,15.0,Roma,Torre Spaccata,7939,17,526
11,4.49,63,11802.0,1058060,17.0,Montecompatri,,9824,18,166
12,48.66,226,411.0,1000715,16.0,Roma,Torre Spaccata,9385,16,132
13,4.19,10,15746.0,1058119,4.0,San cesareo,,7087,11,872
14,5.5,1021,2727.0,1000850,10.0,Roma,Torre Angela,3073,7,183
15,9.04,32,17912.0,1058114,16.0,Zagarolo,,5542,10,133
16,8.49,32,17912.0,1058114,7.0,Zagarolo,,3661,6,389
17,9.23,960,1842.0,1000723,14.0,Roma,Alessandrino,2988,9,119
18,8.6,32,17912.0,1058114,13.0,Zagarolo,,5837,10,212
19,2.87,977,4533.0,1000820,7.0,Roma,Torre Angela,10030,13,601
20,5.51,1320,2542.0,1000706,13.0,Roma,Alessandrino,8942,19,190
21,5.51,1320,2542.0,1000706,6.0,Roma,Alessandrino,8028,19,868
22,7.33,1021,2727.0,1000850,11.0,Roma,Torre Angela,5815,11,266
23,3.61,154,6371.0,1000842,13.0,Roma,Borghesiana,8260,19,55
24,0.66,1034,3052.0,1000865,10.0,Roma,Torre Angela,2850,7,101
25,9.83,32,17912.0,1058114,6.0,Zagarolo,,5530,10,544
26,2.71,1032,5158.0,1000863,9.0,Roma,Borghesiana,2721,7,13
27,2.19,1019,4564.0,1000843,7.0,Roma,Borghesiana,6180,12,73
28,6.04,607,6124.0,1001008,7.0,Roma,Appio Claudio,8759,18,579
29,1.66,1068,9650.0,1001026,7.0,Roma,Don Bosco,3681,10,408
30,2.69,1068,9650.0,1001026,6.0,Roma,Don Bosco,6707,19,748
31,8.21,32,17912.0,1058114,14.0,Zagarolo,,6109,11,193
32,3.91,974,5633.0,1000818,14.0,Roma,Torre Angela,5486,12,106
33,2.19,1019,4564.0,1000843,9.0,Roma,Borghesiana,10660,16,43
34,4.5,358,8216.0,1001901,16.0,Roma,Trionfale,3694,14,277
35,3.45,386,3482.0,1001930,11.0,Roma,Primavalle,6466,11,100
36,38.78,231,490.0,1002021,10.0,Roma,Prima Porta,4226,7,120
37,55.1,231,490.0,1002021,9.0,Roma,Prima Porta,7925,12,311
38,1.49,592,5377.0,1000632,13.0,Roma,Tuscolano,8525,20,107
39,5.42,818,1475.0,1000427,10.0,Roma,Castel Giubileo,24425,21,160
40,3.76,681,4250.0,1000402,13.0,Roma,Monte Sacro,11812,19,403
41,5.22,97,1534.0,1000189,7.0,Roma,Sallustiano,7587,21,786
42,1.29,449,3106.0,1002032,6.0,Roma,Tor di Quinto,11850,23,308
43,0.66,75,9139.0,1058102,21.0,Segni,,4700,7,205
44,7.0,75,9139.0,1058102,15.0,Segni,,4962,9,182
45,7.98,515,20924.0,1058034,18.0,Colleferro,,25539,20,855
46,7.98,515,20924.0,1058034,4.0,Colleferro,,25675,24,874
47,18.69,515,20924.0,1058034,11.0,Colleferro,,16952,16,445
48,18.3,515,20924.0,1058034,10.0,Colleferro,,16955,15,605
49,3.43,1319,10200.0,1001504,15.0,Roma,Portuense,9105,19,246
50,2.55,1319,10200.0,1001504,18.0,Roma,Portuense,4392,10,125
51,1.74,1224,8636.0,1001231,19.0,Roma,Castel di Leva,11380,15,155
52,2.2,1224,8636.0,1001231,18.0,Roma,Castel di Leva,6742,13,338
53,2.89,1224,8636.0,1001231,6.0,Roma,Castel di Leva,4640,11,502
54,6.72,1224,8636.0,1001231,10.0,Roma,Castel di Leva,9577,12,226
55,4.63,1224,8636.0,1001231,12.0,Roma,Castel di Leva,10387,18,217
56,5.33,1224,8636.0,1001231,8.0,Roma,Castel di Leva,5426,9,361
57,6.93,948,5625.0,1000707,14.0,Roma,Alessandrino,3684,11,318
58,2.45,1319,10200.0,1001504,17.0,Roma,Portuense,5056,12,260
59,4.61,1060,4119.0,1001626,14.0,Roma,Gianicolense,11515,18,1552
60,4.13,1060,4119.0,1001626,13.0,Roma,Gianicolense,9029,18,284
61,3.24,1319,10200.0,1001504,16.0,Roma,Portuense,6769,19,176
62,30.05,650,732.0,1058083,15.0,Riofreddo,,47377,40,1105
63,3.03,1101,8582.0,1001503,6.0,Roma,Portuense,5511,16,998
64,4.97,499,2215.0,1001636,16.0,Roma,Portuense,5681,18,896
65,2.7,1099,7025.0,1001501,17.0,Roma,Portuense,4863,15,287
66,3.51,422,7415.0,1001954,15.0,Roma,Casalotti,6661,13,407
67,2.02,422,7415.0,1001954,13.0,Roma,Casalotti,9513,22,581
68,1.89,422,7415.0,1001954,8.0,Roma,Casalotti,2500,5,524
69,1.62,422,7415.0,1001954,10.0,Roma,Casalotti,6050,13,46
70,2.56,422,7415.0,1001954,17.0,Roma,Casalotti,5884,11,256
71,5.41,214,3513.0,1001615,8.0,Roma,Gianicolense,4500,14,502
72,5.26,422,7415.0,1001954,16.0,Roma,Casalotti,4976,10,119
73,3.23,408,4954.0,1001942,14.0,Roma,Casalotti,9068,14,240
74,7.72,29,4146.0,1001917,9.0,Roma,Trionfale,7978,12,410
75,2.42,408,4954.0,1001942,13.0,Roma,Casalotti,18933,21,387
76,0.27,422,7415.0,1001954,21.0,Roma,Casalotti,14650,18,151
77,9.59,332,2190.0,1001919,17.0,Roma,Della Vittoria,8809,18,252
78,2.46,331,13428.0,1001827,7.0,Roma,Casalotti,4154,8,579
79,3.81,177,6298.0,1000813,12.0,Roma,Lunghezza,4591,8,551
80,1.74,376,6911.0,1001918,8.0,Roma,Ottavia,3700,7,452
81,2.01,384,1491.0,1001922,8.0,Roma,Casalotti,3600,7,1191
82,2.02,422,7415.0,1001954,9.0,Roma,Casalotti,3820,7,99
83,16.09,979,435.0,1001915,9.0,Roma,Trionfale,6557,11,360
84,4.96,1047,4637.0,1001007,9.0,Roma,Appio Claudio,4782,14,653
85,8.93,205,2576.0,1001628,5.0,Roma,Gianicolense,23221,42,944
86,3.51,39,3422.0,1058129,20.0,FRASCATI,,16216,15,239
87,5.82,205,2576.0,1001628,10.0,Roma,Gianicolense,20753,21,1504
88,2.91,1101,8582.0,1001503,17.0,Roma,Portuense,7264,19,473
89,3.75,980,10671.0,1000805,12.0,Roma,Torrenova,6422,11,143
90,11.4,39,3422.0,1058129,16.0,FRASCATI,,6287,15,136
91,6.64,1076,2109.0,1001022,15.0,Roma,Torre Gaia,6157,14,260
92,10.09,1092,4262.0,1001036,17.0,Roma,Torrenova,6297,11,153
93,6.26,1137,3833.0,1001044,6.0,Roma,Torre Gaia,4162,10,600
94,3.84,980,10671.0,1000805,8.0,Roma,Torrenova,3202,6,432
95,6.83,214,3513.0,1001615,6.0,Roma,Gianicolense,5041,18,717
96,2.68,1164,5966.0,1001119,9.0,Roma,Ardeatino,3700,8,257
97,7.68,1165,6508.0,1001137,14.0,Roma,Ardeatino,3818,11,321
98,76.92,36,143.0,1001322,10.0,Roma,Castel Porziano,24100,29,422
99,5.49,1160,4914.0,1001116,10.0,Roma,Ardeatino,3929,9,244
100,5.04,1139,3967.0,1001104,18.0,Roma,Ostiense,4845,10,112
101,1.42,1160,4914.0,1001116,21.0,Roma,Ardeatino,9442,15,376
102,1.26,1139,3967.0,1001104,20.0,Roma,Ostiense,5060,9,344
103,18.02,714,1387.0,1000146,7.0,Roma,Monti,10220,27,788
104,4.27,205,2576.0,1001628,8.0,Roma,Gianicolense,15445,21,216
105,5.12,1123,5664.0,1001122,7.0,Roma,Ardeatino,5024,12,701
106,0.32,1145,3166.0,1001106,20.0,Roma,Ostiense,700,3,111
107,14.03,1161,3279.0,1001121,9.0,Roma,Ardeatino,5741,12,776
108,11.21,378,2675.0,1001920,17.0,Roma,Trionfale,3686,12,398
109,4.25,1062,8241.0,1001115,17.0,Roma,Ardeatino,4151,14,198
110,6.81,1139,3967.0,1001104,17.0,Roma,Ostiense,4155,10,53
111,8.27,382,3263.0,1001526,17.0,Roma,Portuense,3062,8,285
112,4.22,116,13503.0,1000826,7.0,Roma,Lunghezza,10498,13,547
113,58.82,868,102.0,1000545,7.0,Roma,Pietralata,27116,31,359
114,5.89,70,3734.0,1058112,9.0,Vicovaro,,8018,11,50
115,1.63,686,3073.0,1000914,9.0,Roma,Appio-Latino,4820,13,57
116,4.25,72,8699.0,1058103,7.0,Subiaco,,6202,9,596
117,3.46,874,2314.0,1000504,7.0,Roma,Collatino,3512,8,321
118,15.87,905,63.0,1000537,7.0,Roma,Pietralata,700,1,1
119,4.38,75,9139.0,1058102,5.0,Segni,,10537,15,1016
120,1.85,636,3240.0,1000927,10.0,Roma,Appio-Latino,8300,19,195
121,3.91,422,7415.0,1001954,14.0,Roma,Casalotti,11524,24,300
122,1.42,893,4938.0,1000526,18.0,Roma,Ponte Mammolo,10414,12,750
123,15.21,354,263.0,1001857,9.0,Roma,Casalotti,7975,9,41
124,3.58,516,837.0,1000906,9.0,Roma,Tuscolano,16900,23,7
125,22.41,515,20924.0,1058034,9.0,Colleferro,,13536,13,451
126,4.6,365,5429.0,1001929,12.0,Roma,Trionfale,5680,14,315
127,5.01,400,1796.0,1001945,12.0,Roma,Trionfale,3355,9,1322
128,16.58,515,20924.0,1058034,5.0,Colleferro,,15295,16,868
129,24.76,515,20924.0,1058034,14.0,Colleferro,,15796,17,540
130,8.57,530,5716.0,1058042,6.0,Genazzano,,2565,5,373
131,2.06,508,10693.0,1058026,11.0,Cave,,3800,7,140
132,5.95,530,5716.0,1058042,8.0,Genazzano,,4552,8,313
133,21.79,515,20924.0,1058034,6.0,Colleferro,,13167,15,690
134,18.5,515,20924.0,1058034,8.0,Colleferro,,13580,14,444
135,21.98,515,20924.0,1058034,16.0,Colleferro,,15790,17,388
136,8.92,530,5716.0,1058042,11.0,Genazzano,,8360,11,136
137,10.85,530,5716.0,1058042,14.0,Genazzano,,5017,9,181
138,18.21,515,20924.0,1058034,12.0,Colleferro,,19686,18,543
139,10.32,530,5716.0,1058042,15.0,Genazzano,,5869,9,205
140,8.41,559,6537.0,1058073,15.0,Olevano romano,,5250,9,227
141,5.58,75,9139.0,1058102,11.0,Segni,,8749,13,596
142,10.15,530,5716.0,1058042,16.0,Genazzano,,3620,6,137
143,8.57,530,5716.0,1058042,7.0,Genazzano,,4897,8,425
144,24.42,515,20924.0,1058034,13.0,Colleferro,,21620,20,603
145,7.33,75,9139.0,1058102,10.0,Segni,,7977,11,187
146,10.14,500,2072.0,1058062,6.0,Montelanico,,6328,9,324
147,11.38,588,5010.0,1058128,8.0,FRASCATI,,11345,13,1212
148,20.36,515,20924.0,1058034,7.0,Colleferro,,14168,14,567
149,8.09,74,15206.0,1058110,8.0,Valmontone,,8675,12,582
150,2.99,508,10693.0,1058026,6.0,Cave,,6865,13,595
151,3.65,508,10693.0,1058026,9.0,Cave,,7738,11,419
152,7.33,1160,4914.0,1001116,14.0,Roma,Ardeatino,6202,15,186
153,3.09,508,10693.0,1058026,10.0,Cave,,4090,7,318
154,6.31,1160,4914.0,1001116,15.0,Roma,Ardeatino,5238,11,391
155,5.85,74,15206.0,1058110,12.0,Valmontone,,8656,12,423
156,2.54,300,1970.0,1001808,14.0,Roma,Trionfale,3260,9,1004
157,1.02,1160,4914.0,1001116,20.0,Roma,Ardeatino,4660,11,24
158,7.94,1160,4914.0,1001116,9.0,Roma,Ardeatino,4012,9,107
