,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
0,0.98,1141,4089.0,1002037,10.0,Roma,La Giustiniana,5750,9,315
1,2.25,600,13336.0,1058115,12.0,Lariano,,6200,10,669
2,1.46,401,15111.0,1001612,9.0,Roma,Gianicolense,4595,11,16
3,1.41,268,3536.0,1001803,10.0,Roma,Aurelio,16060,22,5918
4,600.0,385,10.0,1001928,14.0,Roma,Trionfale,11750,24,303
5,5.86,20,1535.0,1000440,16.0,Roma,Monte Sacro Alto,4033,13,67
6,2.18,181,61346.0,1058079,7.0,Pomezia,,7464,11,741
7,2.11,33,4749.0,1002018,15.0,Roma,Prima Porta,14320,20,3013
8,2.27,305,2643.0,1001816,15.0,Roma,Aurelio,5400,14,50
9,3.75,551,8523.0,1058064,15.0,Monte porzio cato,,6284,14,147
10,0.7,551,8523.0,1058064,21.0,Monte porzio cato,,8950,11,229
11,3.46,481,4910.0,1002060,16.0,Roma,Prima Porta,2111,6,245
12,3.99,1312,1252.0,1001515,10.0,Roma,Portuense,1140,4,278
13,1.39,553,40898.0,1058065,18.0,Monterotondo,,5314,9,321
14,2.49,434,2011.0,1002013,14.0,Roma,La Giustiniana,6560,10,88
15,18.4,246,163.0,1001730,5.0,Roma,Della Vittoria,13833,45,755
16,1.98,268,3536.0,1001803,17.0,Roma,Aurelio,11771,24,371
17,2.27,305,2643.0,1001816,18.0,Roma,Aurelio,10866,21,2030
18,9.18,515,20924.0,1058034,6.0,Colleferro,,12380,15,813
19,1.92,45,18187.0,1058009,17.0,Ariccia,,5902,13,164
20,2.92,1036,2742.0,1000869,16.0,Roma,Borghesiana,2000,6,172
21,4.14,1190,5309.0,1001212,15.0,Roma,Torrino,5863,13,102
22,1.94,279,3100.0,1000734,5.0,Roma,Tor Sapienza,4366,10,362
23,4.19,558,1911.0,1058071,9.0,Nerola,,32400,29,2477
24,2.2,154,6371.0,1000842,10.0,Roma,Borghesiana,2957,8,13
25,1.39,1325,6495.0,1001603,5.0,Roma,Gianicolense,2311,13,452
26,2.52,71,3576.0,1058099,8.0,Sant'oreste,,65733,44,6582
27,2.29,1281,2181.0,1001328,15.0,Roma,Acilia Sud,3240,9,56
28,0.19,1032,5158.0,1000863,19.0,Roma,Borghesiana,9000,11,404
29,0.89,1012,5629.0,1001027,11.0,Roma,Tuscolano,7820,19,530
30,1.83,56,37244.0,1058029,12.0,Cerveteri,,6572,9,241
31,1.24,783,4044.0,1000306,13.0,Roma,Nomentano,6360,13,78
32,0.98,1319,10200.0,1001504,7.0,Roma,Portuense,4230,13,3093
33,0.98,1319,10200.0,1001504,11.0,Roma,Portuense,5510,17,234
34,1.7,1060,4119.0,1001626,11.0,Roma,Gianicolense,17914,19,437
35,1.96,1319,10200.0,1001504,14.0,Roma,Portuense,4160,11,115
36,23.56,1125,382.0,1001508,18.0,Roma,Portuense,3188,8,79
37,4.26,772,1173.0,1000267,11.0,Roma,Trieste,3280,10,160
38,1.46,1060,4119.0,1001626,18.0,Roma,Gianicolense,4216,13,55
39,0.49,1060,4119.0,1001626,6.0,Roma,Gianicolense,1000,5,348
40,2.92,524,15424.0,1058036,6.0,Fiano romano,,12486,16,332
41,3.82,598,1572.0,1001638,6.0,Roma,Gianicolense,3966,13,671
42,2.15,82,52937.0,1058111,8.0,Velletri,,7185,12,552
43,86.54,888,104.0,1000516,11.0,Roma,Tor Cervara,8011,13,274
44,7.13,1058,1684.0,1001202,6.0,Roma,Europa,9200,26,864
45,2.11,1155,1895.0,1001113,12.0,Roma,Ardeatino,1900,5,95
46,1.94,181,61346.0,1058079,11.0,Pomezia,,8397,12,277
47,2.58,318,4270.0,1001813,8.0,Roma,Casalotti,7945,12,266
48,1.64,331,13428.0,1001827,8.0,Roma,Casalotti,3968,12,413
49,1.34,331,13428.0,1001827,7.0,Roma,Casalotti,3322,7,366
50,3.51,79,3135.0,1058130,11.0,GROTTAFERRATA,,4600,10,180
51,2.33,210,1289.0,1000204,18.0,Roma,Pinciano,22833,18,9106
52,4.63,444,3890.0,1002028,8.0,Roma,Tor di Quinto,3144,8,335
53,2.24,118,2234.0,1000950,10.0,Roma,Appio-Latino,4640,10,44
54,1.06,743,943.0,1000233,5.0,Roma,Trieste,300,1,3
