,counts_norm,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
0,2.0,233,4015,1001616,18.0,Roma,Gianicolense,4650,11,1652
1,5.0,233,4015,1001616,14.0,Roma,Gianicolense,3220,12,87
2,7.0,233,4015,1001616,6.0,Roma,Gianicolense,2514,10,592
3,5.0,233,4015,1001616,17.0,Roma,Gianicolense,6700,26,43
4,8.0,233,4015,1001616,10.0,Roma,Gianicolense,4437,16,172
5,5.0,233,4015,1001616,12.0,Roma,Gianicolense,3400,12,16
6,3.0,233,4015,1001616,21.0,Roma,Gianicolense,4033,10,27
7,6.0,233,4015,1001616,16.0,Roma,Gianicolense,2466,11,30
8,5.0,233,4015,1001616,13.0,Roma,Gianicolense,5780,16,112
9,4.0,233,4015,1001616,15.0,Roma,Gianicolense,2400,8,42
10,4.0,233,4015,1001616,5.0,Roma,Gianicolense,6500,21,625
11,1.0,233,4015,1001616,20.0,Roma,Gianicolense,16200,31,57
12,5.0,233,4015,1001616,9.0,Roma,Gianicolense,2460,8,192
13,1.0,233,4015,1001616,22.0,Roma,Gianicolense,5200,15,208
14,9.0,233,4015,1001616,8.0,Roma,Gianicolense,4255,9,451
15,1.0,233,4015,1001616,19.0,Roma,Gianicolense,2900,8,4
16,6.0,233,4015,1001616,7.0,Roma,Gianicolense,8316,15,790
17,3.0,233,4015,1001616,11.0,Roma,Gianicolense,3566,15,95
18,4.0,817,4385,1001548,14.0,Roma,Gianicolense,2450,7,57
19,4.0,817,4385,1001548,5.0,Roma,Gianicolense,4275,15,851
20,9.0,817,4385,1001548,6.0,Roma,Gianicolense,9966,25,613
21,3.0,817,4385,1001548,18.0,Roma,Gianicolense,2433,13,17
22,4.0,817,4385,1001548,10.0,Roma,Gianicolense,2125,7,380
23,4.0,817,4385,1001548,9.0,Roma,Gianicolense,8350,20,1138
24,5.0,817,4385,1001548,13.0,Roma,Gianicolense,3900,13,554
25,1.0,817,4385,1001548,8.0,Roma,Gianicolense,1400,6,867
26,1.0,817,4385,1001548,21.0,Roma,Gianicolense,2600,10,3
27,1.0,817,4385,1001548,17.0,Roma,Gianicolense,2700,9,3
28,4.0,817,4385,1001548,16.0,Roma,Gianicolense,1275,6,77
29,1.0,817,4385,1001548,4.0,Roma,Gianicolense,15000,23,797
30,3.0,817,4385,1001548,11.0,Roma,Gianicolense,13233,25,154
31,1.0,817,4385,1001548,15.0,Roma,Gianicolense,2700,8,5
32,2.0,817,4385,1001548,7.0,Roma,Gianicolense,11400,18,1760
33,3.0,817,4385,1001548,12.0,Roma,Gianicolense,9100,17,11
34,1.0,817,4385,1001548,20.0,Roma,Gianicolense,1900,8,187
35,6.0,1316,7570,1000115,14.0,Roma,Trastevere,1850,7,289
36,1.0,1316,7570,1000115,5.0,Roma,Trastevere,26600,24,11
37,1.0,1316,7570,1000115,21.0,Roma,Trastevere,11200,27,119
38,4.0,1316,7570,1000115,15.0,Roma,Trastevere,3200,11,37
39,6.0,1316,7570,1000115,17.0,Roma,Trastevere,8416,20,462
40,7.0,1316,7570,1000115,10.0,Roma,Trastevere,1228,5,373
41,3.0,1316,7570,1000115,11.0,Roma,Trastevere,2700,8,90
42,11.0,1316,7570,1000115,6.0,Roma,Trastevere,8127,20,351
43,5.0,1316,7570,1000115,8.0,Roma,Trastevere,1420,8,227
44,2.0,1316,7570,1000115,9.0,Roma,Trastevere,16300,29,636
45,3.0,1316,7570,1000115,20.0,Roma,Trastevere,3433,9,210
46,4.0,1316,7570,1000115,16.0,Roma,Trastevere,3950,16,181
47,3.0,1316,7570,1000115,12.0,Roma,Trastevere,5766,12,154
48,1.0,1316,7570,1000115,22.0,Roma,Trastevere,4400,14,68
49,4.0,1316,7570,1000115,13.0,Roma,Trastevere,6300,18,238
50,1.0,1316,7570,1000115,7.0,Roma,Trastevere,800,2,2
51,1.0,1316,7570,1000115,19.0,Roma,Trastevere,2300,9,31
52,1.0,1316,7570,1000115,18.0,Roma,Trastevere,16300,32,665
53,18.0,487,14701,1001413,17.0,Fiumicino,,9544,16,154
54,13.0,487,14701,1001413,11.0,Fiumicino,,14653,16,62
55,10.0,487,14701,1001413,12.0,Fiumicino,,16400,21,98
56,17.0,487,14701,1001413,15.0,Fiumicino,,10847,17,580
57,15.0,487,14701,1001413,6.0,Fiumicino,,15340,22,328
58,7.0,487,14701,1001413,19.0,Fiumicino,,15857,20,334
59,18.0,487,14701,1001413,5.0,Fiumicino,,13738,19,996
60,27.0,487,14701,1001413,16.0,Fiumicino,,12281,23,201
61,14.0,487,14701,1001413,18.0,Fiumicino,,17500,19,101
62,15.0,487,14701,1001413,10.0,Fiumicino,,14180,15,163
63,15.0,487,14701,1001413,14.0,Fiumicino,,9600,15,212
64,2.0,487,14701,1001413,4.0,Fiumicino,,14800,20,113
65,7.0,487,14701,1001413,9.0,Fiumicino,,17400,31,47
66,6.0,487,14701,1001413,13.0,Fiumicino,,19283,18,49
67,7.0,487,14701,1001413,8.0,Fiumicino,,16200,23,146
68,3.0,487,14701,1001413,7.0,Fiumicino,,11166,13,49
