,zmu,index_zmu,idtrajectory,zmu_destination
0,1002073,469.0,37220389,1001136
1,1000710,951.0,31637870,1000705
2,1001399,1104.0,66428176,1001370
3,1001502,683.0,5178686,1000177
4,1000266,771.0,69287149,1000474
5,1001526,382.0,32692558,1001545
6,1058010,994.0,81021826,1058104
7,1001605,1209.0,80968141,1002064
8,1000819,999.0,93233376,1058128
9,1000301,644.0,69366440,1000305
10,1000305,782.0,37510584,1000326
11,1000602,613.0,16503371,1000646
12,1000461,844.0,37536309,1000470
13,1000470,104.0,16562392,1000131
14,1000611,662.0,37574693,1000849
15,1001945,400.0,10126503,1000312
16,1001541,157.0,69310851,1001542
17,1001542,878.0,31730620,1001638
18,1001638,598.0,5367760,1001532
19,1002003,416.0,63641706,1000914
20,1001109,1153.0,63668095,1001107
21,1001107,1150.0,16534048,1001109
22,1001954,422.0,80989452,1001398
23,1000847,1022.0,37936730,1000808
24,1001349,1237.0,37612870,1001358
25,1000623,887.0,80820860,1000857
26,1001115,1062.0,37582123,1001116
27,1001116,1160.0,63578786,1001115
28,1058042,530.0,31704376,1001026
29,1001135,1087.0,16093273,1001031
30,1000927,636.0,16076016,1000919
31,1001372,1323.0,37552421,1001349
32,1058023,54.0,69333090,1058104
33,1001614,1109.0,37563423,1000115
34,1001937,398.0,32968424,1001918
35,1001358,1311.0,93977931,1001377
36,1001377,1100.0,93191549,1001342
37,1001612,401.0,5405022,1001544
38,1000420,816.0,37593257,1000465
39,1001528,457.0,114026040,1000103
40,1001717,269.0,37704849,1001743
41,1001120,288.0,80959090,1001203
42,1058104,76.0,37508715,1058047
43,1000851,1023.0,63619023,1000806
44,1001615,214.0,32746334,1001709
45,1058047,22.0,63650633,1000517
46,1001627,1166.0,37554012,1001858
47,1000512,881.0,16586059,1000513
48,1000710,951.0,36552255,1001140
49,1001350,1301.0,69333117,1001380
50,1000846,285.0,63618018,1000258
51,1001937,398.0,80940643,1001917
52,1001053,284.0,69519153,1001827
53,1000953,923.0,69409475,1001123
54,1002053,466.0,16629407,1002003
55,1001702,1208.0,16127627,1001242
56,1001351,1304.0,16459618,1001115
57,1001505,207.0,32972239,1001726
58,1001809,304.0,37918667,1001930
59,1000935,1016.0,63669150,1001206
60,1001827,331.0,69313879,1001950
61,1000264,654.0,15513884,1000621
62,1058043,59.0,69487948,1058050
63,1058050,124.0,31592689,1058009
64,1058047,22.0,80984124,1058104
65,1000303,780.0,5539188,1000528
66,1000306,783.0,69505978,1000158
67,1000158,722.0,16569224,1001243
68,1058038,519.0,16505765,1001244
69,1000423,575.0,31753009,1000508
70,1000316,110.0,69316362,1000333
71,1000925,634.0,37515800,1000806
72,1001355,658.0,47888676,1001334
73,1001127,83.0,38006817,1001267
74,1058013,52.0,113954383,1058054
75,1058054,545.0,113906419,1001237
76,1000801,972.0,63477842,1000508
77,1000847,1022.0,16504210,1001020
78,1001335,1286.0,37295385,1001314
79,1001630,1303.0,15403451,1001628
80,1001016,1072.0,5425687,1001031
81,1058024,55.0,63994116,1058081
82,1058086,569.0,63573407,1002026
83,1000332,790.0,16491797,1001418
84,1001051,1146.0,16590689,1058125
85,1001636,499.0,63054640,1001624
86,1001139,1178.0,63625334,1001121
87,1002022,1054.0,5184677,1002036
88,1000634,937.0,80872028,1000721
89,1000721,954.0,37543427,1000634
90,1000634,937.0,63630860,1000611
91,1000851,1023.0,37518008,1000865
92,1000828,985.0,69210987,1000717
93,1058024,55.0,16486394,1001226
94,1000478,158.0,32954534,1000460
95,1001708,329.0,37606118,1001717
96,1058047,22.0,32660442,1000528
97,1001948,404.0,16468994,1001928
98,1058029,56.0,31763371,1001210
99,1002034,455.0,37689305,1002005
100,1000533,902.0,31791219,1001602
101,1000414,812.0,31637858,1000434
102,1000826,116.0,37508725,1058015
103,1002027,443.0,113970883,1000315
104,1000206,746.0,63026807,1001119
105,1000511,879.0,62964130,1000906
106,1001253,1238.0,5321880,1001343
107,1000826,116.0,31681994,1000812
108,1001001,629.0,80872858,1000705
109,1002012,430.0,5340220,1002070
