,zmu,index_zmu,idtrajectory,zmu_destination
0,1000731,173,58366607,1058114
1,1000706,1320,58312527,1000731
2,1001626,1060,58413962,1002048
3,1001816,305,59188483,1001716
4,1002003,416,59222849,1002006
5,1058123,606,58403507,1001524
6,1001524,1129,58849117,1000471
7,1001827,331,58849312,1001838
8,1000826,116,58356941,1001230
9,1002060,481,58395776,1058034
10,1002021,231,58333600,1002060
11,1058050,124,58849055,1058111
12,1058093,665,58415242,1002018
13,1002018,33,58352040,1058093
14,1058098,579,58413966,1058122
15,1000867,946,58369621,1000824
16,1000824,87,58336075,1000867
17,1001211,1188,58787296,1001204
18,1001204,1182,58406462,1001211
19,1000543,911,58318371,1000556
20,1000532,805,58416949,1000322
21,1002038,109,59229659,1002039
22,1001937,398,58847002,1001916
23,1001911,371,58416735,1001910
24,1001916,374,58408149,1001911
25,1001933,392,58806445,1001937
26,1001910,368,58781791,1001950
27,1001546,987,58373826,1001515
28,1001515,1312,58770758,1001521
29,1001318,1273,59196472,1001382
30,1000816,208,58842364,1000809
31,1000460,833,59221439,1000405
32,1000405,800,59234862,1000459
33,1001618,197,58336905,1001950
34,1001906,362,58786096,1001903
35,1001919,332,58412415,1001906
36,1000238,762,59212396,1000211
37,1001903,361,58841796,1000238
38,1001808,300,59245719,1001837
39,1001809,304,58850056,1001808
40,1001810,306,58765138,1001809
41,1001938,406,58385084,1001935
42,1058034,515,58407491,1000241
43,1001615,214,59278577,1001613
44,1001397,171,58786183,1001328
45,1001703,1255,58809410,1001722
46,1001737,166,58770293,1001703
47,1000213,60,58759629,1000259
48,1000233,743,58795259,1000416
49,1058039,526,59232665,1058131
50,1058130,79,58778764,1058039
51,1002009,34,58834673,1002050
52,1002050,402,58324278,1002009
53,1000645,618,59195610,1000629
54,1000602,613,59260176,1000531
55,1000629,1175,59221870,1000603
56,1000216,1228,58393824,1000479
57,1000457,101,59257264,1000216
58,1000479,855,58847554,1000457
59,1001034,1088,58413705,1001019
60,1001019,651,58332180,1001034
61,1001027,1012,58406956,1000715
62,1002029,447,58793045,1002076
63,1002030,445,58401114,1002005
64,1000236,255,58840072,1000261
65,1000251,563,59189973,1000215
66,1000215,223,59205409,1000235
67,1000252,98,59284591,1000275
68,1000235,405,59220854,1000252
69,1000282,537,58821190,1000216
70,1000275,1078,58392651,1000282
71,1001935,399,58377598,1001938
72,1000933,215,58846163,1002056
73,1000155,725,58416123,1000933
74,1000149,721,58342364,1000155
75,1000496,846,58337163,1000488
76,1000488,137,58351347,1000272
77,1000526,893,59200892,1000525
78,1001204,1182,58325572,1001219
79,1001219,1202,59247532,1001203
80,1000510,877,58375746,1000144
81,1001253,1238,58815341,1001214
82,1001214,632,58842756,1001253
83,1001226,1218,58390221,1001253
84,1000456,3,58761041,1058080
85,1001204,1182,58406649,1001226
86,1001204,1182,58782928,1001121
87,1001226,1218,58752873,1001204
88,1001226,1218,58372533,1001217
89,1001121,1161,58829319,1001204
90,1001217,1198,58391751,1001204
91,1000553,78,58398876,1000571
92,1000530,899,58840129,1058047
93,1000571,925,58409816,1000530
94,1002058,477,58806017,1002038
95,1001923,178,58352077,1002037
96,1001923,178,58793234,1002037
97,1002037,1141,58320544,1001923
98,1002037,1141,58379285,1001923
99,1002072,115,59267840,1002037
100,1002037,1141,59224963,1002072
101,1002036,453,58342386,1001928
102,1058039,526,58818261,1058064
103,1058064,551,58383606,1058039
104,1058102,75,59199587,1058034
105,1000401,796,59265404,1000523
106,1058117,77,58348358,1000116
107,1058114,32,59231157,1058074
108,1001254,1239,59254137,1001212
109,1000282,537,58828636,1058047
110,1001901,358,58387957,1000259
111,1001724,1050,59200532,1001825
112,1001740,826,59191228,1001724
113,1001901,358,58817336,1001736
114,1001736,1049,58840867,1001740
115,1001126,206,58413887,1001250
116,1001250,127,59220932,1001126
117,1058047,22,58815634,1058104
118,1058104,76,58386357,1058047
119,1002003,416,58833206,1000259
120,1058046,529,58798060,1058131
121,1001605,1209,58385440,1001623
122,1001634,1259,58354971,1001603
123,1058074,69,58847706,1058119
124,1000731,173,58789592,1000634
125,1000721,954,58371564,1000723
126,1000623,887,58354733,1000721
127,1000634,937,59235610,1000623
128,1058039,526,58764929,1058046
129,1058046,529,58338862,1058039
130,1058003,47,59241503,1058111
131,1001345,1173,58312577,1001346
132,1000532,805,58796604,1000311
133,1001373,1096,58752650,1001361
134,1001324,653,59204783,1001361
135,1001266,1244,58360442,1001202
