,index_zmu_origin,zmu,score_trip_counts,score_trip_time,score_breaktime,score_trip_distance,mark_trip_counts,mark_trip_time,mark_breaktime,mark_trip_distance
0,1109.0,1001614,3,4,2,2,Important,Relevant,Average,Average
1,45.0,1058009,4,3,2,2,Relevant,Important,Average,Average
2,47.0,1058003,4,4,2,3,Relevant,Relevant,Average,Important
3,268.0,1001803,3,4,2,2,Important,Relevant,Average,Average
4,174.0,1000184,2,3,2,2,Average,Important,Average,Average
5,737.0,1000185,3,4,3,2,Important,Relevant,Important,Average
6,1075.0,1001715,3,4,2,2,Important,Relevant,Average,Average
7,211.0,1000915,1,1,2,1,Low,Low,Average,Low
8,401.0,1001612,3,4,2,2,Important,Relevant,Average,Average
9,678.0,1001635,3,4,2,2,Important,Relevant,Average,Average
10,166.0,1001737,3,4,2,2,Important,Relevant,Average,Average
11,1049.0,1001736,4,4,2,3,Relevant,Relevant,Average,Important
12,329.0,1001708,4,4,2,2,Relevant,Relevant,Average,Average
13,901.0,1000627,2,3,1,2,Average,Important,Low,Average
14,592.0,1000632,3,3,2,2,Important,Important,Average,Average
15,210.0,1000204,3,3,2,2,Important,Important,Average,Average
16,34.0,1002009,2,4,1,3,Average,Relevant,Low,Important
17,440.0,1000270,2,3,1,2,Average,Important,Low,Average
18,1054.0,1002022,4,3,2,3,Relevant,Important,Average,Important
19,151.0,1000319,3,3,2,2,Important,Important,Average,Average
20,864.0,1000334,3,4,1,2,Important,Relevant,Low,Average
21,257.0,1000311,3,4,1,3,Important,Relevant,Low,Important
22,793.0,1000320,3,4,2,2,Important,Relevant,Average,Average
23,794.0,1000337,2,4,2,3,Average,Relevant,Average,Important
24,976.0,1001709,3,4,2,2,Important,Relevant,Average,Average
25,783.0,1000306,3,4,2,2,Important,Relevant,Average,Average
26,427.0,1002007,3,4,2,3,Important,Relevant,Average,Important
27,746.0,1000206,3,4,2,2,Important,Relevant,Average,Average
28,804.0,1000407,3,3,2,2,Important,Important,Average,Average
29,1078.0,1000275,2,4,3,2,Average,Relevant,Important,Average
30,646.0,1000241,3,4,2,2,Important,Relevant,Average,Average
31,1228.0,1000216,2,4,1,2,Average,Relevant,Low,Average
32,405.0,1000235,2,3,3,2,Average,Important,Important,Average
33,223.0,1000215,3,4,3,2,Important,Relevant,Important,Average
34,252.0,1000475,1,4,2,4,Low,Relevant,Average,Relevant
35,863.0,1000490,3,4,2,2,Important,Relevant,Average,Average
36,1129.0,1001524,4,4,2,4,Relevant,Relevant,Average,Relevant
37,805.0,1000532,3,4,2,2,Important,Relevant,Average,Average
38,125.0,1000322,2,4,2,3,Average,Relevant,Average,Important
39,273.0,1000701,3,3,2,2,Important,Important,Average,Average
40,598.0,1001638,2,4,3,3,Average,Relevant,Important,Important
41,612.0,1001519,3,4,2,2,Important,Relevant,Average,Average
42,22.0,1058047,4,3,2,2,Relevant,Important,Average,Average
43,877.0,1000510,4,3,2,2,Relevant,Important,Average,Average
44,1314.0,1000477,3,4,2,2,Important,Relevant,Average,Average
45,167.0,1000422,2,3,3,2,Average,Important,Important,Average
46,657.0,1000521,2,4,2,2,Average,Relevant,Average,Average
47,23.0,1002039,2,3,1,2,Average,Important,Low,Average
48,868.0,1000545,1,4,1,3,Low,Relevant,Low,Important
49,905.0,1000537,2,3,2,2,Average,Important,Average,Average
50,872.0,1000503,3,4,2,3,Important,Relevant,Average,Important
51,714.0,1000146,3,4,2,2,Important,Relevant,Average,Average
52,686.0,1000914,3,4,2,2,Important,Relevant,Average,Average
53,889.0,1000523,2,3,2,2,Average,Important,Average,Average
54,893.0,1000526,3,3,2,2,Important,Important,Average,Average
55,553.0,1058065,4,3,2,2,Relevant,Important,Average,Average
56,76.0,1058104,4,3,2,2,Relevant,Important,Average,Average
57,941.0,1000702,3,3,2,2,Important,Important,Average,Average
58,537.0,1000282,2,4,2,2,Average,Relevant,Average,Average
59,524.0,1058036,4,4,2,4,Relevant,Relevant,Average,Relevant
60,853.0,1000493,3,3,2,2,Important,Important,Average,Average
61,8.0,1002040,3,3,2,2,Important,Important,Average,Average
62,477.0,1002058,3,4,2,2,Important,Relevant,Average,Average
63,519.0,1058038,4,4,2,4,Relevant,Relevant,Average,Relevant
64,109.0,1002038,3,3,2,2,Important,Important,Average,Average
65,78.0,1000553,3,4,2,2,Important,Relevant,Average,Average
66,993.0,1000812,4,3,2,2,Relevant,Important,Average,Average
67,897.0,1000529,3,3,2,3,Important,Important,Average,Important
68,32.0,1058114,4,3,2,2,Relevant,Important,Average,Average
69,1320.0,1000706,3,3,1,2,Important,Important,Low,Average
70,10.0,1058119,4,3,2,2,Relevant,Important,Average,Average
71,937.0,1000634,2,3,2,2,Average,Important,Average,Average
72,1052.0,1001003,3,4,2,2,Important,Relevant,Average,Average
73,1069.0,1001020,3,4,1,3,Important,Relevant,Low,Important
74,629.0,1001001,3,3,2,2,Important,Important,Average,Average
75,1012.0,1001027,3,3,4,2,Important,Important,Relevant,Average
