index_zmu;POP_TOT_ZMU;zmu;comune;nome_comun;quartiere;pgtu;municipio;OperatorInfo;NumberOfPoints;ID;city;Connection_TypeID;Connection_ID;Power;charging_stations
0.0;33;1001236;58091;Roma;Castel Porziano;5;9.0;CASTEL ROMANO DESIGNER OUTLET;4;88480;Roma;25;125019;7;1
0.0;33;1001236;58091;Roma;Castel Porziano;5;9.0;Pittarello;1;85105;Castelromano ;25;120414;not available;1
0.0;33;1001236;58091;Roma;Castel Porziano;5;9.0; Roadhouse Restaurant Castel Romano;1;85104;Castelromano ;25;120413;not available;1
2.0;4901;1001941;58091;Roma;La Storta;5;14.0;EnelX EVA+  ADS Selva Candida Esterna;2;93878;Roma;1036;132469;43;1
2.0;4901;1001941;58091;Roma;La Storta;5;14.0;EnelX EVA+  ADS Selva Candida Esterna;2;93878;Roma;33;132467;50;1
2.0;4901;1001941;58091;Roma;La Storta;5;14.0;EnelX EVA+  ADS Selva Candida Esterna;2;93878;Roma;2;132468;50;1
10.0;15746;1058119;58119;San cesareo;;7;;Eurospin;2;135133;San Cesareo;25;188593;not available;1
10.0;15746;1058119;58119;San cesareo;;7;;Eneldrive Fast EVA+ Conad San Cesareo;2;104446;San Cesareo;2;146998;50;1
10.0;15746;1058119;58119;San cesareo;;7;;Eneldrive Fast EVA+ Conad San Cesareo;2;104446;San Cesareo;33;146997;50;1
10.0;15746;1058119;58119;San cesareo;;7;;Eneldrive Fast EVA+ Conad San Cesareo;2;104446;San Cesareo;1036;146999;43;1
10.0;15746;1058119;58119;San cesareo;;7;;Centro Commerciale La Noce;8;168151;San Cesareo ;25;254758;22;1
18.0;2669;1001418;58120;Fiumicino;;7;;HPC Atlante Aeroporto Fiumicino;1;211297;Fiumicino;33;351543;200;1
18.0;2669;1001418;58120;Fiumicino;;7;;HPC Atlante Aeroporto Fiumicino;1;211296;Fiumicino;33;351542;200;1
18.0;2669;1001418;58120;Fiumicino;;7;;HPC Atlante Aeroporto Fiumicino;2;211298;Fiumicino;33;351544;300;1
22.0;87039;1058047;58047;Guidonia montecel;;7;;EnelX EVA+ c/o  +VISTA FABBRICA OCCHIALI;2;93833;Guidonia ;33;132388;50;1
22.0;87039;1058047;58047;Guidonia montecel;;7;;EnelX EVA+ c/o  +VISTA FABBRICA OCCHIALI;2;93833;Guidonia ;1036;132390;43;1
22.0;87039;1058047;58047;Guidonia montecel;;7;;EnelX EVA+ c/o  +VISTA FABBRICA OCCHIALI;2;93833;Guidonia ;2;132389;50;1
