,sum,index_zmu,POP_TOT_ZMU,zmu,ora,nome_comun,quartiere,pgtu,municipio
0,8.01,184,803.0,1000101,5,Roma,Ponte,1.0,1.0
1,24.62,184,803.0,1000101,6,Roma,Ponte,1.0,1.0
2,62.22,184,803.0,1000101,7,Roma,Ponte,1.0,1.0
3,57.49,184,803.0,1000101,8,Roma,Ponte,1.0,1.0
4,41.56,184,803.0,1000101,9,Roma,Ponte,1.0,1.0
5,31.3,184,803.0,1000101,10,Roma,Ponte,1.0,1.0
6,30.05,184,803.0,1000101,11,Roma,Ponte,1.0,1.0
7,35.36,184,803.0,1000101,12,Roma,Ponte,1.0,1.0
8,148.78,184,803.0,1000101,13,Roma,Ponte,1.0,1.0
9,146.98,184,803.0,1000101,14,Roma,Ponte,1.0,1.0
10,138.23,184,803.0,1000101,15,Roma,Ponte,1.0,1.0
11,150.37,184,803.0,1000101,16,Roma,Ponte,1.0,1.0
12,166.77,184,803.0,1000101,17,Roma,Ponte,1.0,1.0
13,170.83,184,803.0,1000101,18,Roma,Ponte,1.0,1.0
14,130.33,184,803.0,1000101,19,Roma,Ponte,1.0,1.0
15,42.62,184,803.0,1000101,20,Roma,Ponte,1.0,1.0
16,13.04,184,803.0,1000101,21,Roma,Ponte,1.0,1.0
17,8.13,184,803.0,1000101,22,Roma,Ponte,1.0,1.0
18,5.46,184,803.0,1000101,23,Roma,Ponte,1.0,1.0
19,3.94,266,420.0,1000102,5,Roma,S.Eustachio,1.0,1.0
20,12.1,266,420.0,1000102,6,Roma,S.Eustachio,1.0,1.0
21,30.58,266,420.0,1000102,7,Roma,S.Eustachio,1.0,1.0
22,28.25,266,420.0,1000102,8,Roma,S.Eustachio,1.0,1.0
23,20.43,266,420.0,1000102,9,Roma,S.Eustachio,1.0,1.0
24,15.38,266,420.0,1000102,10,Roma,S.Eustachio,1.0,1.0
25,14.77,266,420.0,1000102,11,Roma,S.Eustachio,1.0,1.0
26,17.38,266,420.0,1000102,12,Roma,S.Eustachio,1.0,1.0
27,138.43,266,420.0,1000102,13,Roma,S.Eustachio,1.0,1.0
28,136.75,266,420.0,1000102,14,Roma,S.Eustachio,1.0,1.0
29,128.61,266,420.0,1000102,15,Roma,S.Eustachio,1.0,1.0
30,139.91,266,420.0,1000102,16,Roma,S.Eustachio,1.0,1.0
31,155.16,266,420.0,1000102,17,Roma,S.Eustachio,1.0,1.0
32,158.95,266,420.0,1000102,18,Roma,S.Eustachio,1.0,1.0
33,121.26,266,420.0,1000102,19,Roma,S.Eustachio,1.0,1.0
34,35.34,266,420.0,1000102,20,Roma,S.Eustachio,1.0,1.0
35,10.81,266,420.0,1000102,21,Roma,S.Eustachio,1.0,1.0
36,6.75,266,420.0,1000102,22,Roma,S.Eustachio,1.0,1.0
37,4.53,266,420.0,1000102,23,Roma,S.Eustachio,1.0,1.0
38,40.19,692,4294.0,1000103,5,Roma,Regola,1.0,1.0
39,123.53,692,4294.0,1000103,6,Roma,Regola,1.0,1.0
40,312.13,692,4294.0,1000103,7,Roma,Regola,1.0,1.0
41,288.38,692,4294.0,1000103,8,Roma,Regola,1.0,1.0
42,208.48,692,4294.0,1000103,9,Roma,Regola,1.0,1.0
43,157.0,692,4294.0,1000103,10,Roma,Regola,1.0,1.0
44,150.76,692,4294.0,1000103,11,Roma,Regola,1.0,1.0
45,177.4,692,4294.0,1000103,12,Roma,Regola,1.0,1.0
46,1492.56,692,4294.0,1000103,13,Roma,Regola,1.0,1.0
47,1474.47,692,4294.0,1000103,14,Roma,Regola,1.0,1.0
48,1386.69,692,4294.0,1000103,15,Roma,Regola,1.0,1.0
49,1508.51,692,4294.0,1000103,16,Roma,Regola,1.0,1.0
50,1672.99,692,4294.0,1000103,17,Roma,Regola,1.0,1.0
51,1713.76,692,4294.0,1000103,18,Roma,Regola,1.0,1.0
52,1307.43,692,4294.0,1000103,19,Roma,Regola,1.0,1.0
53,378.28,692,4294.0,1000103,20,Roma,Regola,1.0,1.0
54,115.74,692,4294.0,1000103,21,Roma,Regola,1.0,1.0
55,72.2,692,4294.0,1000103,22,Roma,Regola,1.0,1.0
56,48.47,692,4294.0,1000103,23,Roma,Regola,1.0,1.0
57,33.28,394,3670.0,1000104,5,Roma,Ponte,1.0,1.0
58,102.31,394,3670.0,1000104,6,Roma,Ponte,1.0,1.0
59,258.5,394,3670.0,1000104,7,Roma,Ponte,1.0,1.0
60,238.83,394,3670.0,1000104,8,Roma,Ponte,1.0,1.0
61,172.66,394,3670.0,1000104,9,Roma,Ponte,1.0,1.0
62,130.03,394,3670.0,1000104,10,Roma,Ponte,1.0,1.0
63,124.86,394,3670.0,1000104,11,Roma,Ponte,1.0,1.0
64,146.92,394,3670.0,1000104,12,Roma,Ponte,1.0,1.0
65,971.6,394,3670.0,1000104,13,Roma,Ponte,1.0,1.0
66,959.83,394,3670.0,1000104,14,Roma,Ponte,1.0,1.0
67,902.69,394,3670.0,1000104,15,Roma,Ponte,1.0,1.0
68,981.99,394,3670.0,1000104,16,Roma,Ponte,1.0,1.0
69,1089.06,394,3670.0,1000104,17,Roma,Ponte,1.0,1.0
70,1115.6,394,3670.0,1000104,18,Roma,Ponte,1.0,1.0
71,851.09,394,3670.0,1000104,19,Roma,Ponte,1.0,1.0
72,254.98,394,3670.0,1000104,20,Roma,Ponte,1.0,1.0
73,78.01,394,3670.0,1000104,21,Roma,Ponte,1.0,1.0
74,48.67,394,3670.0,1000104,22,Roma,Ponte,1.0,1.0
75,32.67,394,3670.0,1000104,23,Roma,Ponte,1.0,1.0
76,4.57,693,523.0,1000105,5,Roma,Pigna,1.0,1.0
77,14.06,693,523.0,1000105,6,Roma,Pigna,1.0,1.0
78,35.52,693,523.0,1000105,7,Roma,Pigna,1.0,1.0
79,32.82,693,523.0,1000105,8,Roma,Pigna,1.0,1.0
80,23.73,693,523.0,1000105,9,Roma,Pigna,1.0,1.0
81,17.87,693,523.0,1000105,10,Roma,Pigna,1.0,1.0
82,17.16,693,523.0,1000105,11,Roma,Pigna,1.0,1.0
83,20.19,693,523.0,1000105,12,Roma,Pigna,1.0,1.0
84,452.71,693,523.0,1000105,13,Roma,Pigna,1.0,1.0
85,447.23,693,523.0,1000105,14,Roma,Pigna,1.0,1.0
86,420.6,693,523.0,1000105,15,Roma,Pigna,1.0,1.0
87,457.55,693,523.0,1000105,16,Roma,Pigna,1.0,1.0
88,507.44,693,523.0,1000105,17,Roma,Pigna,1.0,1.0
89,519.8,693,523.0,1000105,18,Roma,Pigna,1.0,1.0
90,396.56,693,523.0,1000105,19,Roma,Pigna,1.0,1.0
91,105.4,693,523.0,1000105,20,Roma,Pigna,1.0,1.0
92,32.25,693,523.0,1000105,21,Roma,Pigna,1.0,1.0
93,20.12,693,523.0,1000105,22,Roma,Pigna,1.0,1.0
94,13.51,693,523.0,1000105,23,Roma,Pigna,1.0,1.0
95,31.37,698,3139.0,1000106,5,Roma,S.Angelo,1.0,1.0
96,96.44,698,3139.0,1000106,6,Roma,S.Angelo,1.0,1.0
97,243.67,698,3139.0,1000106,7,Roma,S.Angelo,1.0,1.0
98,225.14,698,3139.0,1000106,8,Roma,S.Angelo,1.0,1.0
99,162.75,698,3139.0,1000106,9,Roma,S.Angelo,1.0,1.0
100,122.57,698,3139.0,1000106,10,Roma,S.Angelo,1.0,1.0
101,117.7,698,3139.0,1000106,11,Roma,S.Angelo,1.0,1.0
102,138.5,698,3139.0,1000106,12,Roma,S.Angelo,1.0,1.0
103,904.16,698,3139.0,1000106,13,Roma,S.Angelo,1.0,1.0
104,893.2,698,3139.0,1000106,14,Roma,S.Angelo,1.0,1.0
105,840.02,698,3139.0,1000106,15,Roma,S.Angelo,1.0,1.0
106,913.82,698,3139.0,1000106,16,Roma,S.Angelo,1.0,1.0
107,1013.46,698,3139.0,1000106,17,Roma,S.Angelo,1.0,1.0
108,1038.16,698,3139.0,1000106,18,Roma,S.Angelo,1.0,1.0
109,792.01,698,3139.0,1000106,19,Roma,S.Angelo,1.0,1.0
110,237.77,698,3139.0,1000106,20,Roma,S.Angelo,1.0,1.0
111,72.75,698,3139.0,1000106,21,Roma,S.Angelo,1.0,1.0
112,45.38,698,3139.0,1000106,22,Roma,S.Angelo,1.0,1.0
113,30.47,698,3139.0,1000106,23,Roma,S.Angelo,1.0,1.0
114,4.01,484,410.0,1000107,5,Roma,Trevi,1.0,1.0
115,12.31,484,410.0,1000107,6,Roma,Trevi,1.0,1.0
116,31.11,484,410.0,1000107,7,Roma,Trevi,1.0,1.0
117,28.74,484,410.0,1000107,8,Roma,Trevi,1.0,1.0
118,20.78,484,410.0,1000107,9,Roma,Trevi,1.0,1.0
119,15.65,484,410.0,1000107,10,Roma,Trevi,1.0,1.0
120,15.03,484,410.0,1000107,11,Roma,Trevi,1.0,1.0
121,17.68,484,410.0,1000107,12,Roma,Trevi,1.0,1.0
122,316.66,484,410.0,1000107,13,Roma,Trevi,1.0,1.0
123,312.82,484,410.0,1000107,14,Roma,Trevi,1.0,1.0
124,294.2,484,410.0,1000107,15,Roma,Trevi,1.0,1.0
125,320.04,484,410.0,1000107,16,Roma,Trevi,1.0,1.0
126,354.94,484,410.0,1000107,17,Roma,Trevi,1.0,1.0
127,363.59,484,410.0,1000107,18,Roma,Trevi,1.0,1.0
128,277.38,484,410.0,1000107,19,Roma,Trevi,1.0,1.0
129,74.72,484,410.0,1000107,20,Roma,Trevi,1.0,1.0
130,22.86,484,410.0,1000107,21,Roma,Trevi,1.0,1.0
131,14.26,484,410.0,1000107,22,Roma,Trevi,1.0,1.0
132,9.57,484,410.0,1000107,23,Roma,Trevi,1.0,1.0
133,8.76,699,576.0,1000108,5,Roma,Colonna,1.0,1.0
134,26.93,699,576.0,1000108,6,Roma,Colonna,1.0,1.0
135,68.04,699,576.0,1000108,7,Roma,Colonna,1.0,1.0
136,62.86,699,576.0,1000108,8,Roma,Colonna,1.0,1.0
137,45.44,699,576.0,1000108,9,Roma,Colonna,1.0,1.0
138,34.22,699,576.0,1000108,10,Roma,Colonna,1.0,1.0
139,32.86,699,576.0,1000108,11,Roma,Colonna,1.0,1.0
140,38.67,699,576.0,1000108,12,Roma,Colonna,1.0,1.0
141,906.05,699,576.0,1000108,13,Roma,Colonna,1.0,1.0
142,895.07,699,576.0,1000108,14,Roma,Colonna,1.0,1.0
143,841.78,699,576.0,1000108,15,Roma,Colonna,1.0,1.0
144,915.73,699,576.0,1000108,16,Roma,Colonna,1.0,1.0
145,1015.57,699,576.0,1000108,17,Roma,Colonna,1.0,1.0
146,1040.33,699,576.0,1000108,18,Roma,Colonna,1.0,1.0
147,793.66,699,576.0,1000108,19,Roma,Colonna,1.0,1.0
148,210.47,699,576.0,1000108,20,Roma,Colonna,1.0,1.0
149,64.4,699,576.0,1000108,21,Roma,Colonna,1.0,1.0
150,40.17,699,576.0,1000108,22,Roma,Colonna,1.0,1.0
151,26.97,699,576.0,1000108,23,Roma,Colonna,1.0,1.0
152,10.11,700,1113.0,1000109,5,Roma,Campo Marzio,1.0,1.0
153,31.07,700,1113.0,1000109,6,Roma,Campo Marzio,1.0,1.0
154,78.5,700,1113.0,1000109,7,Roma,Campo Marzio,1.0,1.0
155,72.53,700,1113.0,1000109,8,Roma,Campo Marzio,1.0,1.0
156,52.43,700,1113.0,1000109,9,Roma,Campo Marzio,1.0,1.0
157,39.49,700,1113.0,1000109,10,Roma,Campo Marzio,1.0,1.0
158,37.92,700,1113.0,1000109,11,Roma,Campo Marzio,1.0,1.0
159,44.62,700,1113.0,1000109,12,Roma,Campo Marzio,1.0,1.0
160,890.71,700,1113.0,1000109,13,Roma,Campo Marzio,1.0,1.0
161,879.92,700,1113.0,1000109,14,Roma,Campo Marzio,1.0,1.0
162,827.53,700,1113.0,1000109,15,Roma,Campo Marzio,1.0,1.0
163,900.24,700,1113.0,1000109,16,Roma,Campo Marzio,1.0,1.0
164,998.39,700,1113.0,1000109,17,Roma,Campo Marzio,1.0,1.0
165,1022.72,700,1113.0,1000109,18,Roma,Campo Marzio,1.0,1.0
166,780.23,700,1113.0,1000109,19,Roma,Campo Marzio,1.0,1.0
167,208.74,700,1113.0,1000109,20,Roma,Campo Marzio,1.0,1.0
168,63.87,700,1113.0,1000109,21,Roma,Campo Marzio,1.0,1.0
169,39.84,700,1113.0,1000109,22,Roma,Campo Marzio,1.0,1.0
170,26.75,700,1113.0,1000109,23,Roma,Campo Marzio,1.0,1.0
171,39.77,694,2159.0,1000110,5,Roma,Campo Marzio,1.0,1.0
172,122.25,694,2159.0,1000110,6,Roma,Campo Marzio,1.0,1.0
173,308.89,694,2159.0,1000110,7,Roma,Campo Marzio,1.0,1.0
174,285.39,694,2159.0,1000110,8,Roma,Campo Marzio,1.0,1.0
175,206.32,694,2159.0,1000110,9,Roma,Campo Marzio,1.0,1.0
176,155.38,694,2159.0,1000110,10,Roma,Campo Marzio,1.0,1.0
177,149.2,694,2159.0,1000110,11,Roma,Campo Marzio,1.0,1.0
178,175.57,694,2159.0,1000110,12,Roma,Campo Marzio,1.0,1.0
179,2189.87,694,2159.0,1000110,13,Roma,Campo Marzio,1.0,1.0
180,2163.33,694,2159.0,1000110,14,Roma,Campo Marzio,1.0,1.0
181,2034.54,694,2159.0,1000110,15,Roma,Campo Marzio,1.0,1.0
182,2213.28,694,2159.0,1000110,16,Roma,Campo Marzio,1.0,1.0
183,2454.59,694,2159.0,1000110,17,Roma,Campo Marzio,1.0,1.0
184,2514.41,694,2159.0,1000110,18,Roma,Campo Marzio,1.0,1.0
185,1918.24,694,2159.0,1000110,19,Roma,Campo Marzio,1.0,1.0
186,531.49,694,2159.0,1000110,20,Roma,Campo Marzio,1.0,1.0
187,162.61,694,2159.0,1000110,21,Roma,Campo Marzio,1.0,1.0
188,101.44,694,2159.0,1000110,22,Roma,Campo Marzio,1.0,1.0
189,68.1,694,2159.0,1000110,23,Roma,Campo Marzio,1.0,1.0
190,24.32,690,1431.0,1000111,5,Roma,Colonna,1.0,1.0
191,74.74,690,1431.0,1000111,6,Roma,Colonna,1.0,1.0
192,188.85,690,1431.0,1000111,7,Roma,Colonna,1.0,1.0
193,174.48,690,1431.0,1000111,8,Roma,Colonna,1.0,1.0
194,126.13,690,1431.0,1000111,9,Roma,Colonna,1.0,1.0
195,94.99,690,1431.0,1000111,10,Roma,Colonna,1.0,1.0
196,91.22,690,1431.0,1000111,11,Roma,Colonna,1.0,1.0
197,107.34,690,1431.0,1000111,12,Roma,Colonna,1.0,1.0
198,2672.15,690,1431.0,1000111,13,Roma,Colonna,1.0,1.0
199,2639.77,690,1431.0,1000111,14,Roma,Colonna,1.0,1.0
200,2482.61,690,1431.0,1000111,15,Roma,Colonna,1.0,1.0
201,2700.72,690,1431.0,1000111,16,Roma,Colonna,1.0,1.0
202,2995.18,690,1431.0,1000111,17,Roma,Colonna,1.0,1.0
203,3068.17,690,1431.0,1000111,18,Roma,Colonna,1.0,1.0
204,2340.71,690,1431.0,1000111,19,Roma,Colonna,1.0,1.0
205,618.86,690,1431.0,1000111,20,Roma,Colonna,1.0,1.0
206,189.35,690,1431.0,1000111,21,Roma,Colonna,1.0,1.0
207,118.12,690,1431.0,1000111,22,Roma,Colonna,1.0,1.0
208,79.3,690,1431.0,1000111,23,Roma,Colonna,1.0,1.0
209,0.26,671,16.0,1000112,5,Roma,Campitelli,1.0,1.0
210,0.79,671,16.0,1000112,6,Roma,Campitelli,1.0,1.0
211,2.0,671,16.0,1000112,7,Roma,Campitelli,1.0,1.0
212,1.85,671,16.0,1000112,8,Roma,Campitelli,1.0,1.0
213,1.34,671,16.0,1000112,9,Roma,Campitelli,1.0,1.0
214,1.01,671,16.0,1000112,10,Roma,Campitelli,1.0,1.0
215,0.97,671,16.0,1000112,11,Roma,Campitelli,1.0,1.0
216,1.14,671,16.0,1000112,12,Roma,Campitelli,1.0,1.0
217,195.22,671,16.0,1000112,13,Roma,Campitelli,1.0,1.0
218,192.86,671,16.0,1000112,14,Roma,Campitelli,1.0,1.0
219,181.37,671,16.0,1000112,15,Roma,Campitelli,1.0,1.0
220,197.31,671,16.0,1000112,16,Roma,Campitelli,1.0,1.0
221,218.82,671,16.0,1000112,17,Roma,Campitelli,1.0,1.0
222,224.15,671,16.0,1000112,18,Roma,Campitelli,1.0,1.0
223,171.01,671,16.0,1000112,19,Roma,Campitelli,1.0,1.0
224,43.35,671,16.0,1000112,20,Roma,Campitelli,1.0,1.0
225,13.26,671,16.0,1000112,21,Roma,Campitelli,1.0,1.0
226,8.27,671,16.0,1000112,22,Roma,Campitelli,1.0,1.0
227,5.55,671,16.0,1000112,23,Roma,Campitelli,1.0,1.0
228,1.54,701,101.0,1000113,5,Roma,Campo Marzio,1.0,1.0
229,4.72,701,101.0,1000113,6,Roma,Campo Marzio,1.0,1.0
230,11.93,701,101.0,1000113,7,Roma,Campo Marzio,1.0,1.0
231,11.02,701,101.0,1000113,8,Roma,Campo Marzio,1.0,1.0
232,7.97,701,101.0,1000113,9,Roma,Campo Marzio,1.0,1.0
233,6.0,701,101.0,1000113,10,Roma,Campo Marzio,1.0,1.0
234,5.76,701,101.0,1000113,11,Roma,Campo Marzio,1.0,1.0
235,6.78,701,101.0,1000113,12,Roma,Campo Marzio,1.0,1.0
236,191.1,701,101.0,1000113,13,Roma,Campo Marzio,1.0,1.0
237,188.78,701,101.0,1000113,14,Roma,Campo Marzio,1.0,1.0
238,177.54,701,101.0,1000113,15,Roma,Campo Marzio,1.0,1.0
239,193.14,701,101.0,1000113,16,Roma,Campo Marzio,1.0,1.0
240,214.2,701,101.0,1000113,17,Roma,Campo Marzio,1.0,1.0
241,219.42,701,101.0,1000113,18,Roma,Campo Marzio,1.0,1.0
242,167.39,701,101.0,1000113,19,Roma,Campo Marzio,1.0,1.0
243,44.01,701,101.0,1000113,20,Roma,Campo Marzio,1.0,1.0
244,13.46,701,101.0,1000113,21,Roma,Campo Marzio,1.0,1.0
245,8.4,701,101.0,1000113,22,Roma,Campo Marzio,1.0,1.0
246,5.64,701,101.0,1000113,23,Roma,Campo Marzio,1.0,1.0
247,1.98,611,246.0,1000114,5,Roma,Campo Marzio,1.0,1.0
248,6.08,611,246.0,1000114,6,Roma,Campo Marzio,1.0,1.0
