,time_steps,zmu,random_increments_recharge,index_zmu
0,07:50,1058095,325,578
1,08:00,1058095,0,578
2,08:10,1058095,125,578
3,08:20,1058095,320,578
4,08:30,1058095,480,578
5,08:40,1058095,800,578
6,08:50,1058095,850,578
7,09:00,1058095,0,578
8,09:10,1058095,195,578
9,09:20,1058095,420,578
10,09:30,1058095,675,578
11,09:40,1058095,1000,578
12,09:50,1058095,1200,578
13,10:00,1058095,0,578
14,10:10,1058095,245,578
15,10:20,1058095,490,578
16,10:30,1058095,735,578
17,10:40,1058095,980,578
18,10:50,1058095,1225,578
19,11:00,1058095,0,578
20,11:10,1058095,245,578
21,11:20,1058095,490,578
22,11:30,1058095,735,578
23,11:40,1058095,980,578
24,11:50,1058095,1225,578
25,12:00,1058095,0,578
26,12:10,1058095,245,578
27,12:20,1058095,490,578
28,12:30,1058095,735,578
29,12:40,1058095,980,578
30,12:50,1058095,1225,578
31,13:00,1058095,0,578
32,13:10,1058095,245,578
33,13:20,1058095,490,578
34,13:30,1058095,735,578
35,13:40,1058095,980,578
36,13:50,1058095,1225,578
37,14:00,1058095,0,578
38,14:10,1058095,245,578
39,14:20,1058095,490,578
40,14:30,1058095,735,578
41,14:40,1058095,980,578
42,14:50,1058095,1225,578
43,15:00,1058095,0,578
44,15:10,1058095,245,578
45,15:20,1058095,490,578
46,15:30,1058095,735,578
47,15:40,1058095,980,578
48,15:50,1058095,1225,578
49,16:00,1058095,0,578
50,16:10,1058095,245,578
51,16:20,1058095,490,578
52,16:30,1058095,735,578
53,16:40,1058095,980,578
54,16:50,1058095,1225,578
55,17:00,1058095,0,578
56,17:10,1058095,245,578
57,17:20,1058095,490,578
58,17:30,1058095,735,578
59,17:40,1058095,980,578
60,17:50,1058095,1225,578
61,18:00,1058095,0,578
62,18:10,1058095,245,578
63,18:20,1058095,490,578
64,18:30,1058095,735,578
65,18:40,1058095,980,578
66,18:50,1058095,1225,578
67,19:00,1058095,0,578
68,19:10,1058095,245,578
69,19:20,1058095,490,578
70,19:30,1058095,735,578
71,19:40,1058095,980,578
72,19:50,1058095,1225,578
73,20:00,1058095,0,578
74,20:10,1058095,245,578
75,20:20,1058095,490,578
76,20:30,1058095,735,578
77,20:40,1058095,980,578
78,20:50,1058095,1225,578
79,21:00,1058095,0,578
80,21:10,1058095,245,578
81,21:20,1058095,490,578
82,21:30,1058095,735,578
83,21:40,1058095,980,578
84,21:50,1058095,1225,578
85,22:00,1058095,0,578
86,22:10,1058095,215,578
87,22:20,1058095,400,578
88,22:30,1058095,555,578
89,22:40,1058095,700,578
90,22:50,1058095,875,578
91,07:50,1001210,375,230
92,08:00,1001210,0,230
93,08:10,1001210,95,230
94,08:20,1001210,220,230
95,08:30,1001210,315,230
96,08:40,1001210,460,230
97,08:50,1001210,525,230
98,09:00,1001210,0,230
99,09:10,1001210,115,230
100,09:20,1001210,250,230
101,09:30,1001210,375,230
102,09:40,1001210,540,230
103,09:50,1001210,675,230
104,10:00,1001210,0,230
105,10:10,1001210,135,230
106,10:20,1001210,270,230
107,10:30,1001210,405,230
108,10:40,1001210,540,230
109,10:50,1001210,675,230
110,11:00,1001210,0,230
111,11:10,1001210,135,230
112,11:20,1001210,270,230
113,11:30,1001210,405,230
114,11:40,1001210,540,230
115,11:50,1001210,675,230
116,12:00,1001210,0,230
117,12:10,1001210,135,230
118,12:20,1001210,270,230
119,12:30,1001210,405,230
120,12:40,1001210,540,230
121,12:50,1001210,675,230
122,13:00,1001210,0,230
123,13:10,1001210,135,230
124,13:20,1001210,270,230
125,13:30,1001210,405,230
126,13:40,1001210,540,230
127,13:50,1001210,675,230
128,14:00,1001210,0,230
129,14:10,1001210,135,230
130,14:20,1001210,270,230
131,14:30,1001210,405,230
132,14:40,1001210,540,230
133,14:50,1001210,675,230
134,15:00,1001210,0,230
135,15:10,1001210,135,230
136,15:20,1001210,270,230
137,15:30,1001210,405,230
138,15:40,1001210,540,230
139,15:50,1001210,675,230
140,16:00,1001210,0,230
141,16:10,1001210,135,230
142,16:20,1001210,270,230
143,16:30,1001210,405,230
144,16:40,1001210,540,230
145,16:50,1001210,675,230
146,17:00,1001210,0,230
147,17:10,1001210,135,230
148,17:20,1001210,270,230
149,17:30,1001210,405,230
150,17:40,1001210,540,230
151,17:50,1001210,675,230
152,18:00,1001210,0,230
153,18:10,1001210,135,230
154,18:20,1001210,270,230
155,18:30,1001210,405,230
156,18:40,1001210,540,230
157,18:50,1001210,675,230
158,19:00,1001210,0,230
159,19:10,1001210,135,230
160,19:20,1001210,270,230
161,19:30,1001210,405,230
162,19:40,1001210,540,230
163,19:50,1001210,675,230
164,20:00,1001210,0,230
165,20:10,1001210,135,230
166,20:20,1001210,270,230
167,20:30,1001210,405,230
168,20:40,1001210,540,230
169,20:50,1001210,675,230
170,21:00,1001210,0,230
171,21:10,1001210,135,230
172,21:20,1001210,270,230
173,21:30,1001210,405,230
174,21:40,1001210,540,230
175,21:50,1001210,675,230
176,22:00,1001210,0,230
177,22:10,1001210,110,230
178,22:20,1001210,210,230
179,22:30,1001210,225,230
180,22:40,1001210,280,230
181,22:50,1001210,300,230
182,07:50,1001115,375,1062
183,08:00,1001115,0,1062
184,08:10,1001115,110,1062
185,08:20,1001115,250,1062
186,08:30,1001115,375,1062
187,08:40,1001115,860,1062
188,08:50,1001115,875,1062
189,09:00,1001115,0,1062
190,09:10,1001115,225,1062
191,09:20,1001115,500,1062
192,09:30,1001115,720,1062
193,09:40,1001115,1100,1062
194,09:50,1001115,1375,1062
195,10:00,1001115,0,1062
196,10:10,1001115,290,1062
197,10:20,1001115,580,1062
198,10:30,1001115,870,1062
199,10:40,1001115,1160,1062
200,10:50,1001115,1450,1062
201,11:00,1001115,0,1062
202,11:10,1001115,290,1062
203,11:20,1001115,580,1062
204,11:30,1001115,870,1062
205,11:40,1001115,1160,1062
206,11:50,1001115,1450,1062
207,12:00,1001115,0,1062
208,12:10,1001115,290,1062
209,12:20,1001115,580,1062
210,12:30,1001115,870,1062
211,12:40,1001115,1160,1062
212,12:50,1001115,1450,1062
213,13:00,1001115,0,1062
214,13:10,1001115,290,1062
215,13:20,1001115,580,1062
216,13:30,1001115,870,1062
217,13:40,1001115,1160,1062
218,13:50,1001115,1450,1062
219,14:00,1001115,0,1062
220,14:10,1001115,290,1062
221,14:20,1001115,580,1062
222,14:30,1001115,870,1062
223,14:40,1001115,1160,1062
224,14:50,1001115,1450,1062
225,15:00,1001115,0,1062
226,15:10,1001115,290,1062
227,15:20,1001115,580,1062
228,15:30,1001115,870,1062
229,15:40,1001115,1160,1062
230,15:50,1001115,1450,1062
231,16:00,1001115,0,1062
232,16:10,1001115,290,1062
233,16:20,1001115,580,1062
234,16:30,1001115,870,1062
235,16:40,1001115,1160,1062
236,16:50,1001115,1450,1062
237,17:00,1001115,0,1062
238,17:10,1001115,290,1062
239,17:20,1001115,580,1062
240,17:30,1001115,870,1062
241,17:40,1001115,1160,1062
242,17:50,1001115,1450,1062
243,18:00,1001115,0,1062
244,18:10,1001115,290,1062
245,18:20,1001115,580,1062
246,18:30,1001115,870,1062
247,18:40,1001115,1160,1062
248,18:50,1001115,1450,1062
249,19:00,1001115,0,1062
250,19:10,1001115,290,1062
251,19:20,1001115,580,1062
