,trip_id,arrival_time,stop_id,stop_sequence,hour,stop_lat,stop_lon,shape_id,route_short_name,trip_headsign
998709,0#2508-4,06:00:22,78436,30,6,41.916538,12.464322,55484,628,VOLPI/FARNESINA
998710,0#2508-4,06:00:50,70525,31,6,41.916727,12.463127,55484,628,VOLPI/FARNESINA
998711,0#2508-4,06:01:42,82254,32,6,41.919088,12.461657,55484,628,VOLPI/FARNESINA
998712,0#2508-4,06:03:40,72289,33,6,41.921223,12.45882,55484,628,VOLPI/FARNESINA
998713,0#2508-4,06:04:54,73967,34,6,41.924852,12.458722,55484,628,VOLPI/FARNESINA
998714,0#2508-4,06:05:44,72085,35,6,41.927337,12.458288,55484,628,VOLPI/FARNESINA
998715,0#2508-4,06:06:56,72087,36,6,41.93083,12.459165,55484,628,VOLPI/FARNESINA
998716,0#2508-4,06:07:40,70057,37,6,41.932692,12.460705,55484,628,VOLPI/FARNESINA
998717,0#2508-4,06:09:30,80849,38,6,41.93463,12.458642,55484,628,VOLPI/FARNESINA
998718,0#2508-4,06:12:00,82130,39,6,41.938265,12.458933,55484,628,VOLPI/FARNESINA
998719,0#2508-5,06:25:00,82130,1,6,41.938265,12.458933,63230,628,BARONIO
998720,0#2508-5,06:25:20,72017,2,6,41.937373,12.459225,63230,628,BARONIO
998721,0#2508-5,06:26:24,79352,3,6,41.935908,12.461655,63230,628,BARONIO
998722,0#2508-5,06:27:42,72867,4,6,41.933622,12.461208,63230,628,BARONIO
998723,0#2508-5,06:28:14,70953,5,6,41.932643,12.460052,63230,628,BARONIO
998724,0#2508-5,06:29:10,76840,6,6,41.930587,12.458715,63230,628,BARONIO
998725,0#2508-5,06:30:40,72097,7,6,41.926928,12.458215,63230,628,BARONIO
998726,0#2508-5,06:32:22,78139,8,6,41.923992,12.457813,63230,628,BARONIO
998727,0#2508-5,06:33:22,70530,9,6,41.923252,12.460767,63230,628,BARONIO
998728,0#2508-5,06:34:20,70531,10,6,41.921893,12.463348,63230,628,BARONIO
998729,0#2508-5,06:35:16,82298,11,6,41.921312,12.466377,63230,628,BARONIO
998730,0#2508-5,06:36:40,70533,12,6,41.920003,12.462868,63230,628,BARONIO
998731,0#2508-5,06:37:50,20265,13,6,41.918898,12.461548,63230,628,BARONIO
998732,0#2508-5,06:38:52,70535,14,6,41.916602,12.462932,63230,628,BARONIO
998733,0#2508-5,06:40:08,74454,15,6,41.916008,12.464547,63230,628,BARONIO
998734,0#2508-5,06:41:20,74455,16,6,41.91724,12.467923,63230,628,BARONIO
998735,0#2508-5,06:44:28,80781,17,6,41.914398,12.473768,63230,628,BARONIO
998736,0#2508-5,06:45:38,70852,18,6,41.911633,12.47493,63230,628,BARONIO
998737,0#2508-5,06:47:08,70357,19,6,41.90981,12.474352,63230,628,BARONIO
998738,0#2508-5,06:47:42,70358,20,6,41.908842,12.474267,63230,628,BARONIO
998739,0#2508-5,06:49:50,70262,21,6,41.904053,12.475233,63230,628,BARONIO
998740,0#2508-5,06:50:36,70263,22,6,41.902807,12.474048,63230,628,BARONIO
998741,0#2508-5,06:51:44,70474,23,6,41.901002,12.472227,63230,628,BARONIO
998742,0#2508-5,06:53:20,70266,24,6,41.898002,12.473928,63230,628,BARONIO
998743,0#2508-5,06:54:34,79790,25,6,41.896182,12.476007,63230,628,BARONIO
998744,0#2508-5,06:55:06,79711,26,6,41.895057,12.476352,63230,628,BARONIO
998745,0#2508-5,06:56:50,80610,27,6,41.894342,12.48117,63230,628,BARONIO
998746,0#2508-5,06:57:30,70540,28,6,41.893113,12.48116,63230,628,BARONIO
998747,0#2508-5,06:58:42,70543,29,6,41.890253,12.480707,63230,628,BARONIO
998748,0#2508-5,06:59:58,70545,30,6,41.887525,12.48159,63230,628,BARONIO
998749,0#2508-5,07:01:32,70547,31,7,41.884952,12.485345,63230,628,BARONIO
998750,0#2508-5,07:02:08,70549,32,7,41.884062,12.486917,63230,628,BARONIO
998751,0#2508-5,07:03:50,70554,33,7,41.882922,12.491128,63230,628,BARONIO
998752,0#2508-5,07:05:14,70574,34,7,41.880692,12.494615,63230,628,BARONIO
998753,0#2508-5,07:07:02,70555,35,7,41.882075,12.49852,63230,628,BARONIO
998754,0#2508-5,07:07:54,70558,36,7,41.880717,12.500398,63230,628,BARONIO
998755,0#2508-5,07:08:36,70559,37,7,41.879447,12.501943,63230,628,BARONIO
998756,0#2508-5,07:09:50,70561,38,7,41.87787,12.505455,63230,628,BARONIO
998757,0#2508-5,07:11:00,70562,39,7,41.876448,12.50872,63230,628,BARONIO
998758,0#2508-5,07:12:46,70583,40,7,41.873427,12.511855,63230,628,BARONIO
998759,0#2508-5,07:13:38,70584,41,7,41.871755,12.513253,63230,628,BARONIO
998760,0#2508-5,07:14:14,70585,42,7,41.872047,12.51484,63230,628,BARONIO
998761,0#2508-5,07:15:00,70586,43,7,41.87035,12.515877,63230,628,BARONIO
998762,0#2508-5,07:15:42,78881,44,7,41.868957,12.517138,63230,628,BARONIO
998763,0#2508-5,07:16:16,70587,45,7,41.869277,12.518527,63230,628,BARONIO
998764,0#2508-5,07:17:10,78856,46,7,41.871223,12.518765,63230,628,BARONIO
998765,0#2508-5,07:18:00,78857,47,7,41.872483,12.520062,63230,628,BARONIO
998766,0#2508-6,07:22:00,78857,1,7,41.872483,12.520062,55484,628,VOLPI/FARNESINA
998767,0#2508-6,07:23:04,82247,2,7,41.87163,12.519872,55484,628,VOLPI/FARNESINA
998768,0#2508-6,07:24:08,70588,3,7,41.870285,12.51793,55484,628,VOLPI/FARNESINA
