,zmu_origin,zmu_destination,OD_counts
0,1000102,1000130,2
1,1000102,1000130,2
2,1000106,1000148,1
3,1000115,1000116,2
4,1000115,1000116,2
5,1000117,1001636,1
6,1000118,1001904,4
7,1000118,1001904,4
8,1000118,1001904,4
9,1000118,1001904,4
10,1000118,1058119,4
11,1000118,1058119,4
12,1000118,1058119,4
13,1000118,1058119,4
14,1000121,1000129,1
15,1000123,1001229,1
16,1000125,1000904,1
17,1000131,1000131,2
18,1000131,1000131,2
19,1000137,1000125,5
20,1000137,1000125,5
21,1000137,1000125,5
22,1000137,1000125,5
23,1000137,1000125,5
24,1000137,1000129,4
25,1000137,1000129,4
26,1000137,1000129,4
27,1000137,1000129,4
28,1000158,1001838,4
29,1000158,1001838,4
30,1000158,1001838,4
31,1000158,1001838,4
32,1000167,1001204,1
33,1000176,1058059,1
34,1000177,1001636,3
35,1000177,1001636,3
36,1000177,1001636,3
37,1000180,1000934,1
38,1000185,1000150,1
39,1000186,1001108,1
40,1000187,1001108,2
41,1000187,1001108,2
42,1000194,1002032,1
43,1000196,1000163,2
44,1000196,1000163,2
45,1000205,1000905,1
46,1000206,1000226,1
47,1000207,1000143,2
48,1000207,1000143,2
49,1000207,1001503,1
50,1000208,1001714,1
51,1000208,1002003,3
52,1000208,1002003,3
53,1000208,1002003,3
54,1000210,1001946,1
55,1000211,1000327,1
56,1000211,1001612,5
57,1000211,1001612,5
58,1000211,1001612,5
59,1000211,1001612,5
60,1000211,1001612,5
61,1000214,1000214,2
62,1000214,1000214,2
63,1000216,1000326,1
64,1000216,1001137,1
65,1000216,1058099,3
66,1000216,1058099,3
67,1000216,1058099,3
68,1000218,1000612,1
69,1000218,1002015,2
70,1000218,1002015,2
71,1000219,1000412,1
72,1000224,1000205,1
73,1000224,1001517,2
74,1000224,1001517,2
75,1000225,1000219,1
76,1000226,1001906,2
77,1000226,1001906,2
78,1000231,1000257,2
79,1000231,1000257,2
80,1000237,1000262,1
81,1000237,1000485,2
82,1000237,1000485,2
83,1000240,1000243,3
84,1000240,1000243,3
85,1000240,1000243,3
86,1000240,1058002,1
87,1000242,1000501,1
88,1000244,1000244,5
89,1000244,1000244,5
90,1000244,1000244,5
91,1000244,1000244,5
92,1000244,1000244,5
93,1000245,1000230,1
94,1000252,1000253,3
95,1000252,1000253,3
96,1000252,1000253,3
97,1000252,1000261,1
98,1000252,1000267,2
99,1000252,1000267,2
100,1000252,1000271,2
101,1000252,1000271,2
102,1000253,1000320,3
103,1000253,1000320,3
104,1000253,1000320,3
105,1000253,1000327,3
106,1000253,1000327,3
107,1000253,1000327,3
108,1000256,1000203,1
109,1000258,1000249,4
110,1000258,1000249,4
111,1000258,1000249,4
112,1000258,1000249,4
113,1000259,1001614,1
114,1000259,1058036,1
115,1000266,1000234,2
116,1000266,1000234,2
117,1000266,1000453,3
118,1000266,1000453,3
119,1000266,1000453,3
120,1000266,1001601,1
121,1000267,1000727,3
122,1000267,1000727,3
123,1000267,1000727,3
124,1000268,1000274,2
125,1000268,1000274,2
126,1000274,1000232,2
127,1000274,1000232,2
128,1000276,1000211,1
129,1000309,1058104,3
130,1000309,1058104,3
131,1000309,1058104,3
132,1000311,1000311,1
133,1000312,1000467,4
134,1000312,1000467,4
135,1000312,1000467,4
136,1000312,1000467,4
137,1000313,1000313,2
138,1000313,1000313,2
139,1000314,1000326,5
140,1000314,1000326,5
141,1000314,1000326,5
142,1000314,1000326,5
143,1000314,1000326,5
144,1000316,1000409,1
145,1000327,1002031,5
146,1000327,1002031,5
147,1000327,1002031,5
148,1000327,1002031,5
149,1000327,1002031,5
150,1000333,1000278,2
151,1000333,1000278,2
152,1000333,1001703,1
153,1000336,1000532,1
154,1000402,1000400,2
155,1000402,1000400,2
156,1000402,1000402,1
157,1000402,1000540,1
158,1000404,1000433,2
159,1000404,1000433,2
160,1000406,1000444,1
161,1000412,1000412,2
162,1000412,1000412,2
163,1000415,1000425,1
164,1000416,1000412,1
165,1000418,1000512,1
166,1000420,1000420,3
167,1000420,1000420,3
168,1000420,1000420,3
169,1000421,1000943,1
170,1000428,1001217,1
171,1000430,1002003,1
172,1000434,1000627,2
173,1000434,1000627,2
174,1000437,1000451,1
175,1000439,1000412,1
176,1000439,1000491,8
177,1000439,1000491,8
178,1000439,1000491,8
179,1000439,1000491,8
180,1000439,1000491,8
181,1000439,1000491,8
182,1000439,1000491,8
183,1000439,1000491,8
184,1000449,1000470,1
185,1000458,1001807,1
186,1000459,1000567,1
187,1000460,1000435,5
188,1000460,1000435,5
189,1000460,1000435,5
190,1000460,1000435,5
191,1000460,1000435,5
192,1000460,1000489,5
193,1000460,1000489,5
194,1000460,1000489,5
195,1000460,1000489,5
196,1000460,1000489,5
197,1000461,1000460,1
198,1000461,1000478,1
199,1000461,1000479,1
200,1000465,1000465,3
201,1000465,1000465,3
202,1000465,1000465,3
203,1000469,1000490,1
204,1000480,1000471,1
205,1000481,1000480,1
206,1000485,1000489,3
207,1000485,1000489,3
208,1000485,1000489,3
209,1000489,1000130,2
210,1000489,1000130,2
211,1000489,1000238,2
212,1000489,1000238,2
213,1000489,1000419,1
214,1000489,1000489,2
215,1000489,1000489,2
216,1000491,1000444,1
217,1000494,1000449,1
218,1000501,1058005,1
219,1000505,1058034,1
220,1000508,1000538,1
221,1000509,1000496,2
222,1000509,1000496,2
223,1000511,1000539,1
224,1000512,1000713,1
225,1000512,1000801,3
226,1000512,1000801,3
227,1000512,1000801,3
228,1000513,1000812,2
229,1000513,1000812,2
230,1000514,1000512,3
231,1000514,1000512,3
232,1000514,1000512,3
233,1000514,1058018,3
234,1000514,1058018,3
235,1000514,1058018,3
236,1000515,1002070,1
237,1000525,1000428,1
238,1000526,1000410,3
239,1000526,1000410,3
240,1000526,1000410,3
241,1000527,1000551,1
242,1000527,1058122,5
243,1000527,1058122,5
244,1000527,1058122,5
245,1000527,1058122,5
246,1000527,1058122,5
247,1000528,1000528,3
248,1000528,1000528,3
249,1000528,1000528,3
250,1000530,1058047,3
251,1000530,1058047,3
252,1000530,1058047,3
253,1000532,1058111,6
254,1000532,1058111,6
255,1000532,1058111,6
256,1000532,1058111,6
257,1000532,1058111,6
258,1000532,1058111,6
259,1000533,1000533,1
260,1000535,1000479,1
261,1000535,1000533,1
262,1000535,1058073,1
263,1000538,1000535,1
264,1000539,1000634,2
265,1000539,1000634,2
266,1000540,1000539,1
267,1000542,1000542,1
268,1000544,1000923,1
269,1000552,1058047,4
270,1000552,1058047,4
271,1000552,1058047,4
272,1000552,1058047,4
273,1000553,1000553,1
274,1000554,1000508,3
275,1000554,1000508,3
276,1000554,1000508,3
277,1000556,1001049,8
278,1000556,1001049,8
279,1000556,1001049,8
280,1000556,1001049,8
281,1000556,1001049,8
282,1000556,1001049,8
283,1000556,1001049,8
284,1000556,1001049,8
285,1000558,1000544,1
286,1000566,1000851,1
287,1000603,1000814,1
288,1000611,1000701,1
289,1000611,1000734,1
290,1000622,1000616,2
291,1000622,1000616,2
292,1000622,1000713,1
293,1000629,1000629,1
294,1000629,1001001,3
295,1000629,1001001,3
296,1000629,1001001,3
297,1000635,1000306,1
298,1000638,1001926,4
299,1000638,1001926,4
300,1000638,1001926,4
301,1000638,1001926,4
302,1000642,1058097,3
303,1000642,1058097,3
304,1000642,1058097,3
305,1000646,1000604,3
306,1000646,1000604,3
307,1000646,1000604,3
308,1000701,1000540,1
309,1000701,1058080,1
310,1000702,1000527,4
311,1000702,1000527,4
312,1000702,1000527,4
313,1000702,1000527,4
314,1000702,1000705,1
315,1000704,1000704,1
316,1000704,1000864,1
317,1000705,1000175,1
318,1000706,1000704,2
319,1000706,1000704,2
320,1000707,1000710,3
321,1000707,1000710,3
322,1000707,1000710,3
323,1000709,1000611,1
324,1000710,1000710,1
325,1000710,1000813,1
326,1000710,1001039,1
327,1000713,1000713,6
328,1000713,1000713,6
329,1000713,1000713,6
330,1000713,1000713,6
331,1000713,1000713,6
332,1000713,1000713,6
333,1000714,1000727,3
334,1000714,1000727,3
335,1000714,1000727,3
